code_muni;Rede geral - sem informação de canalização;Poço ou nascente - sem informação de canalização
110001 ALTA FLORESTA D'OESTE;24,4;69,28
110002 ARIQUEMES;35,25;63,32
110003 CABIXI;24;71,49
110004 CACOAL;76,1;22,06
110005 CEREJEIRAS;33,96;64,66
110006 COLORADO DO OESTE;60,7;34,84
110007 CORUMBIARA;12,99;80,41
110008 COSTA MARQUES;16,48;79,9
110009 ESPIGAO D'OESTE;27,47;66,76
110010 GUAJARA-MIRIM;44,74;48,6
110011 JARU;24,58;72,51
110012 JI-PARANA;46,4;51,42
110013 MACHADINHO D'OESTE;31,63;63,04
110014 NOVA BRASILANDIA D'OESTE;28,3;65,77
110015 OURO PRETO DO OESTE;46,41;51,39
110018 PIMENTA BUENO;70,53;26,68
110020 PORTO VELHO;37,61;55,31
110025 PRESIDENTE MEDICI;34,41;60,19
110026 RIO CRESPO;8,12;89,87
110028 ROLIM DE MOURA;49,79;47,61
110029 SANTA LUZIA D'OESTE;19,05;74,03
110030 VILHENA;94,44;3,71
110032 SAO MIGUEL DO GUAPORE;7,35;90,08
110033 NOVA MAMORE;6,66;88,25
110034 ALVORADA D'OESTE;44,06;50,61
110037 ALTO ALEGRE DOS PARECIS;6,95;86,63
110040 ALTO PARAISO;6,05;89,23
110045 BURITIS;0,34;89,78
110050 NOVO HORIZONTE DO OESTE;13,64;79,01
110060 CACAULANDIA;9,46;84,22
110070 CAMPO NOVO DE RONDONIA;21,97;69,78
110080 CANDEIAS DO JAMARI;55,13;40,77
110090 CASTANHEIRAS;25,63;69,58
110092 CHUPINGUAIA;62,6;22,56
110094 CUJUBIM;10,43;83,84
110100 GOVERNADOR JORGE TEIXEIRA;0,5;94,68
110110 ITAPUA DO OESTE;29,77;64,67
110120 MINISTRO ANDREAZZA;18,87;73,26
110130 MIRANTE DA SERRA;14,51;82,13
110140 MONTE NEGRO;28,5;69,83
110143 NOVA UNIAO;9,29;81,57
110145 PARECIS;26,85;60,4
110146 PIMENTEIRAS DO OESTE;46,86;50,71
110147 PRIMAVERA DE RONDONIA;50,97;45,32
110148 SAO FELIPE D'OESTE;21,44;70,66
110149 SAO FRANCISCO DO GUAPORE;0,02;96,26
110150 SERINGUEIRAS;9,53;88
110155 TEIXEIROPOLIS;9,83;85,22
110160 THEOBROMA;10,3;85,85
110170 URUPA;15,59;77,65
110175 VALE DO ANARI;14,29;79,86
110180 VALE DO PARAISO;5,14;91,57
120001 ACRELANDIA;29;64,87
120005 ASSIS BRASIL;49,71;31,97
120010 BRASILEIA;55,77;35,89
120013 BUJARI;40,13;41,76
120017 CAPIXABA;39,06;47,51
120020 CRUZEIRO DO SUL;51,36;27,78
120025 EPITACIOLANDIA;60,42;29,24
120030 FEIJO;13,5;56,03
120032 JORDAO;36,07;10,21
120033 MANCIO LIMA;53,96;26,3
120034 MANOEL URBANO;58,07;22,34
120035 MARECHAL THAUMATURGO;23,93;26,84
120038 PLACIDO DE CASTRO;34,5;56,96
120039 PORTO WALTER;38,48;5,88
120040 RIO BRANCO;52,98;41,12
120042 RODRIGUES ALVES;43,15;28,33
120043 SANTA ROSA DO PURUS;47,79;18,5
120045 SENADOR GUIOMARD;34,02;58,38
120050 SENA MADUREIRA;38,62;43,95
120060 TARAUACA;42,21;18,19
120070 XAPURI;51,43;35,32
120080 PORTO ACRE;24,48;59,98
130002 ALVARAES;47,72;1,21
130006 AMATURA;66,22;0,42
130008 ANAMA;52,95;5,52
130010 ANORI;65;1,86
130014 APUI;12,29;74,53
130020 ATALAIA DO NORTE;35,91;0,38
130030 AUTAZES;20,27;36,74
130040 BARCELOS;49,45;0,83
130050 BARREIRINHA;54,23;0,91
130060 BENJAMIN CONSTANT;52,1;1,38
130063 BERURI;52,91;1,7
130068 BOA VISTA DO RAMOS;56,17;2,63
130070 BOCA DO ACRE;55,64;13,75
130080 BORBA;51,2;3,46
130083 CAAPIRANGA;19,61;10,08
130090 CANUTAMA;47,38;26,4
130100 CARAUARI;63,61;1,01
130110 CAREIRO;36,42;20,69
130115 CAREIRO DA VARZEA;11,25;3,7
130120 COARI;26,76;5,54
130130 CODAJAS;59,47;4,24
130140 EIRUNEPE;44,8;7,48
130150 ENVIRA;23,85;20,97
130160 FONTE BOA;67,21;0,44
130165 GUAJARA;33,88;28,23
130170 HUMAITA;71,03;7,13
130180 IPIXUNA;39,18;2,34
130185 IRANDUBA;61,75;9,2
130190 ITACOATIARA;73,35;5,53
130195 ITAMARATI;36,56;15,54
130200 ITAPIRANGA;76,54;6,29
130210 JAPURA;47,04;1,03
130220 JURUA;45,62;2,35
130230 JUTAI;62,91;0,82
130240 LABREA;23,99;24,22
130250 MANACAPURU;55,57;14,75
130255 MANAQUIRI;35,15;5,93
130260 MANAUS;75,49;14,29
130270 MANICORE;35,6;26,15
130280 MARAA;48,8;0,93
130290 MAUES;51,96;1,9
130300 NHAMUNDA;45,75;1,77
130310 NOVA OLINDA DO NORTE;46,5;9,44
130320 NOVO AIRAO;54,54;10,91
130330 NOVO ARIPUANA;24,79;37,84
130340 PARINTINS;72,14;1,1
130350 PAUINI;44,18;5,38
130353 PRESIDENTE FIGUEIREDO;57,89;25,53
130356 RIO PRETO DA EVA;46,7;32,47
130360 SANTA ISABEL DO RIO NEGRO;44,24;1
130370 SANTO ANTONIO DO ICA;44,09;6,56
130380 SAO GABRIEL DA CACHOEIRA;31,19;12,24
130390 SAO PAULO DE OLIVENCA;37,52;0,99
130395 SAO SEBASTIAO DO UATUMA;67,2;1,13
130400 SILVES;48,85;5,3
130406 TABATINGA;40,78;32,77
130410 TAPAUA;45,22;2
130420 TEFE;74,27;4,87
130423 TONANTINS;13,02;19,36
130426 UARINI;60,08;0,87
130430 URUCARA;77,57;3,08
130440 URUCURITUBA;63,49;1,21
140002 AMAJARI;36,72;19,17
140005 ALTO ALEGRE;45,11;20,14
140010 BOA VISTA;96,03;3,13
140015 BONFIM;49,58;42,2
140017 CANTA;47,11;46,29
140020 CARACARAI;65,87;22,66
140023 CAROEBE;52,58;41,9
140028 IRACEMA;55,5;25,49
140030 MUCAJAI;66,9;27,48
140040 NORMANDIA;46,12;19,04
140045 PACARAIMA;75,22;4,35
140047 RORAINOPOLIS;34,29;53,63
140050 SAO JOAO DA BALIZA;67,13;28,32
140060 SAO LUIZ;67,76;27,1
140070 UIRAMUTA;43,98;3,32
150010 ABAETETUBA;26,66;42,19
150013 ABEL FIGUEIREDO;81,1;10,65
150020 ACARA;31,63;32,39
150030 AFUA;25,97;0,59
150034 AGUA AZUL DO NORTE;14,81;79,56
150040 ALENQUER;32,67;46,47
150050 ALMEIRIM;69,91;8,62
150060 ALTAMIRA;18,93;68,05
150070 ANAJAS;7,52;13,54
150080 ANANINDEUA;36,2;55,9
150085 ANAPU;7,37;77,89
150090 AUGUSTO CORREA;45,83;36,93
150095 AURORA DO PARA;56,7;26,97
150100 AVEIRO;29,51;37,6
150110 BAGRE;39,75;3,42
150120 BAIAO;62,94;17,21
150125 BANNACH;33,94;53,76
150130 BARCARENA;32,76;49,24
150140 BELEM;75,49;20,6
150145 BELTERRA;54,93;13,77
150150 BENEVIDES;69,64;24,37
150157 BOM JESUS DO TOCANTINS;48,57;39,86
150160 BONITO;64,03;24,68
150170 BRAGANCA;37,54;36,35
150172 BRASIL NOVO;51,42;29,6
150175 BREJO GRANDE DO ARAGUAIA;67,64;25,88
150178 BREU BRANCO;24,26;63,93
150180 BREVES;35,24;10,39
150190 BUJARU;39,57;33,8
150195 CACHOEIRA DO PIRIA;20,13;51,2
150200 CACHOEIRA DO ARARI;29,93;46,73
150210 CAMETA;50,14;12,19
150215 CANAA DOS CARAJAS;30,8;64,09
150220 CAPANEMA;23,14;67,31
150230 CAPITAO POCO;60,35;26,44
150240 CASTANHAL;45,17;47,74
150250 CHAVES;14,83;13,05
150260 COLARES;77,54;11,05
150270 CONCEICAO DO ARAGUAIA;42,56;51,1
150275 CONCORDIA DO PARA;13,37;69,12
150276 CUMARU DO NORTE;32,69;48,3
150277 CURIONOPOLIS;37,09;32,84
150280 CURRALINHO;21,66;12,18
150285 CURUA;70,88;7,55
150290 CURUCA;86,68;5,82
150293 DOM ELISEU;77,43;6,28
150295 ELDORADO DOS CARAJAS;24,47;66,69
150300 FARO;74,62;1,7
150304 FLORESTA DO ARAGUAIA;1,74;66,87
150307 GARRAFAO DO NORTE;25,84;54,66
150309 GOIANESIA DO PARA;9,04;76,38
150310 GURUPA;34,74;4,45
150320 IGARAPE-ACU;72,32;13,65
150330 IGARAPE-MIRI;16,04;31,65
150340 INHANGAPI;45,53;31,84
150345 IPIXUNA DO PARA;55,4;21,16
150350 IRITUIA;59,42;23,16
150360 ITAITUBA;13,32;72,1
150370 ITUPIRANGA;4,44;79,28
150375 JACAREACANGA;41,12;27,32
150380 JACUNDA;26,02;65,27
150390 JURUTI;56,65;11,55
150400 LIMOEIRO DO AJURU;23,32;1,41
150405 MAE DO RIO;20,01;70,16
150410 MAGALHAES BARATA;89,73;3,78
150420 MARABA;38,71;52,48
150430 MARACANA;63,58;16,68
150440 MARAPANIM;67,44;21,16
150442 MARITUBA;38,76;51,03
150445 MEDICILANDIA;25,19;51,1
150450 MELGACO;11,09;10,84
150460 MOCAJUBA;56,35;19,75
150470 MOJU;33,54;48,15
150480 MONTE ALEGRE;46,38;33,6
150490 MUANA;44,14;7,36
150495 NOVA ESPERANCA DO PIRIA;4,69;77,06
150497 NOVA IPIXUNA;4,5;83,09
150500 NOVA TIMBOTEUA;71,51;19,06
150503 NOVO PROGRESSO;33,42;59,09
150506 NOVO REPARTIMENTO;8,3;70,66
150510 OBIDOS;57,08;6,26
150520 OEIRAS DO PARA;44,45;23,5
150530 ORIXIMINA;50,64;3,99
150540 OUREM;41,95;45,55
150543 OURILANDIA DO NORTE;73,4;19,88
150548 PACAJA;2,32;77,57
150549 PALESTINA DO PARA;72,45;16,89
150550 PARAGOMINAS;54,7;38,53
150553 PARAUAPEBAS;73,08;20,5
150555 PAU D'ARCO;24,73;45,87
150560 PEIXE-BOI;60,39;29,92
150563 PICARRA;6,47;79,37
150565 PLACAS;6,11;70,36
150570 PONTA DE PEDRAS;50,33;16,99
150580 PORTEL;21,36;41,15
150590 PORTO DE MOZ;50,23;10,4
150600 PRAINHA;47,53;15,32
150610 PRIMAVERA;69,21;23,15
150611 QUATIPURU;32,77;45,89
150613 REDENCAO;22,73;67,52
150616 RIO MARIA;21,18;70,03
150618 RONDON DO PARA;76,23;8,21
150619 RUROPOLIS;30,15;49,72
150620 SALINOPOLIS;64,93;26,58
150630 SALVATERRA;79,47;16,73
150635 SANTA BARBARA DO PARA;67,89;24,98
150640 SANTA CRUZ DO ARARI;81,88;2,66
150650 SANTA IZABEL DO PARA;65,18;26,39
150655 SANTA LUZIA DO PARA;13,52;71,15
150658 SANTA MARIA DAS BARREIRAS;19,98;68,51
150660 SANTA MARIA DO PARA;76,16;13,58
150670 SANTANA DO ARAGUAIA;5,73;83,8
150680 SANTAREM;59,07;20,58
150690 SANTAREM NOVO;72,72;12,93
150700 SANTO ANTONIO DO TAUA;78,44;15,01
150710 SAO CAETANO DE ODIVELAS;70,82;19,41
150715 SAO DOMINGOS DO ARAGUAIA;65,2;28,85
150720 SAO DOMINGOS DO CAPIM;46,13;22,77
150730 SAO FELIX DO XINGU;6,32;82,69
150740 SAO FRANCISCO DO PARA;61,14;26,12
150745 SAO GERALDO DO ARAGUAIA;49,33;38,8
150746 SAO JOAO DA PONTA;79,41;10,15
150747 SAO JOAO DE PIRABAS;61,71;24,71
150750 SAO JOAO DO ARAGUAIA;36,79;43,52
150760 SAO MIGUEL DO GUAMA;35,66;38,49
150770 SAO SEBASTIAO DA BOA VISTA;28,77;7,82
150775 SAPUCAIA;74,7;17,25
150780 SENADOR JOSE PORFIRIO;47,73;27,68
150790 SOURE;75,82;13,98
150795 TAILANDIA;29,53;65,94
150796 TERRA ALTA;79,92;14,14
150797 TERRA SANTA;78,66;6,69
150800 TOME-ACU;60,87;26,86
150803 TRACUATEUA;25,96;47,96
150805 TRAIRAO;1,24;75,81
150808 TUCUMA;41,93;48,16
150810 TUCURUI;82,64;11,7
150812 ULIANOPOLIS;39,77;45,81
150815 URUARA;0,85;78,71
150820 VIGIA;43,28;47,13
150830 VISEU;34,76;42,98
150835 VITORIA DO XINGU;20,67;59,81
150840 XINGUARA;14,31;73,81
160005 SERRA DO NAVIO;67,71;26,88
160010 AMAPA;12,23;68,82
160015 PEDRA BRANCA DO AMAPARI;29,85;50,83
160020 CALCOENE;38,6;48,4
160021 CUTIAS;71,22;2,62
160023 FERREIRA GOMES;68,57;16,24
