"code_muni";"munname";"prop_esgot"
"110001";"ALTA FLORESTA D'OESTE";2,24
"110002";"ARIQUEMES";8,91
"110003";"CABIXI";21,01
"110004";"CACOAL";54,03
"110005";"CEREJEIRAS";16,73
"110006";"COLORADO DO OESTE";5,17
"110007";"CORUMBIARA";11,55
"110008";"COSTA MARQUES";7,91
"110009";"ESPIGAO D'OESTE";13,77
"110010";"GUAJARA-MIRIM";22,19
"110011";"JARU";3,36
"110012";"JI-PARANA";20,43
"110013";"MACHADINHO D'OESTE";2,12
"110014";"NOVA BRASILANDIA D'OESTE";3,84
"110015";"OURO PRETO DO OESTE";10,17
"110018";"PIMENTA BUENO";38,34
"110020";"PORTO VELHO";43,41
"110025";"PRESIDENTE MEDICI";1,64
"110026";"RIO CRESPO";22,57
"110028";"ROLIM DE MOURA";14,98
"110029";"SANTA LUZIA D'OESTE";1,97
"110030";"VILHENA";13,51
"110032";"SAO MIGUEL DO GUAPORE";9,98
"110033";"NOVA MAMORE";7,88
"110034";"ALVORADA D'OESTE";35,84
"110037";"ALTO ALEGRE DOS PARECIS";0,54
"110040";"ALTO PARAISO";10,83
"110045";"BURITIS";1,82
"110050";"NOVO HORIZONTE DO OESTE";9,45
"110060";"CACAULANDIA";21,81
"110070";"CAMPO NOVO DE RONDONIA";19,87
"110080";"CANDEIAS DO JAMARI";9,02
"110090";"CASTANHEIRAS";1,44
"110092";"CHUPINGUAIA";2,69
"110094";"CUJUBIM";7,37
"110100";"GOVERNADOR JORGE TEIXEIRA";30,96
"110110";"ITAPUA DO OESTE";3,2
"110120";"MINISTRO ANDREAZZA";4,55
"110130";"MIRANTE DA SERRA";1,34
"110140";"MONTE NEGRO";1,3
"110143";"NOVA UNIAO";1,1
"110145";"PARECIS";0,65
"110146";"PIMENTEIRAS DO OESTE";18,71
"110147";"PRIMAVERA DE RONDONIA";1,94
"110148";"SAO FELIPE D'OESTE";16,02
"110149";"SAO FRANCISCO DO GUAPORE";3,85
"110150";"SERINGUEIRAS";19,63
"110155";"TEIXEIROPOLIS";2,04
"110160";"THEOBROMA";11,02
"110170";"URUPA";11,53
"110175";"VALE DO ANARI";0,68
"110180";"VALE DO PARAISO";0,29
"120001";"ACRELANDIA";11,7
"120005";"ASSIS BRASIL";24,82
"120010";"BRASILEIA";29,63
"120013";"BUJARI";19,35
"120017";"CAPIXABA";34
"120020";"CRUZEIRO DO SUL";13,9
"120025";"EPITACIOLANDIA";21,2
"120030";"FEIJO";10,3
"120032";"JORDAO";5,29
"120033";"MANCIO LIMA";6,75
"120034";"MANOEL URBANO";12,92
"120035";"MARECHAL THAUMATURGO";8,36
"120038";"PLACIDO DE CASTRO";14,63
"120039";"PORTO WALTER";0,71
"120040";"RIO BRANCO";57,97
"120042";"RODRIGUES ALVES";9,23
"120043";"SANTA ROSA DO PURUS";4,78
"120045";"SENADOR GUIOMARD";24,13
"120050";"SENA MADUREIRA";13,29
"120060";"TARAUACA";10,93
"120070";"XAPURI";29,33
"120080";"PORTO ACRE";11,96
"130002";"ALVARAES";31,36
"130006";"AMATURA";7,69
"130008";"ANAMA";4,62
"130010";"ANORI";2,16
"130014";"APUI";9,53
"130020";"ATALAIA DO NORTE";0,97
"130030";"AUTAZES";20,38
"130040";"BARCELOS";15,48
"130050";"BARREIRINHA";4,15
"130060";"BENJAMIN CONSTANT";14,6
"130063";"BERURI";27,69
"130068";"BOA VISTA DO RAMOS";31,99
"130070";"BOCA DO ACRE";6,33
"130080";"BORBA";8,62
"130083";"CAAPIRANGA";33,01
"130090";"CANUTAMA";10,42
"130100";"CARAUARI";25,71
"130110";"CAREIRO";15,04
"130115";"CAREIRO DA VARZEA";5,62
"130120";"COARI";41,08
"130130";"CODAJAS";26,09
"130140";"EIRUNEPE";13,27
"130150";"ENVIRA";7,65
"130160";"FONTE BOA";2,25
"130165";"GUAJARA";8,22
"130170";"HUMAITA";16,26
"130180";"IPIXUNA";1,51
"130185";"IRANDUBA";14,38
"130190";"ITACOATIARA";20,77
"130195";"ITAMARATI";5,8
"130200";"ITAPIRANGA";6,63
"130210";"JAPURA";16,6
"130220";"JURUA";14,1
"130230";"JUTAI";0,98
"130240";"LABREA";19,96
"130250";"MANACAPURU";24,62
"130255";"MANAQUIRI";7,92
"130260";"MANAUS";63,33
"130270";"MANICORE";8,34
"130280";"MARAA";22,6
"130290";"MAUES";29,19
"130300";"NHAMUNDA";17,6
"130310";"NOVA OLINDA DO NORTE";15,05
"130320";"NOVO AIRAO";16,43
"130330";"NOVO ARIPUANA";14,95
"130340";"PARINTINS";20,52
"130350";"PAUINI";26,47
"130353";"PRESIDENTE FIGUEIREDO";37,54
"130356";"RIO PRETO DA EVA";10,01
"130360";"SANTA ISABEL DO RIO NEGRO";8,25
"130370";"SANTO ANTONIO DO ICA";3,83
"130380";"SAO GABRIEL DA CACHOEIRA";13,11
"130390";"SAO PAULO DE OLIVENCA";5,05
"130395";"SAO SEBASTIAO DO UATUMA";1,8
"130400";"SILVES";4,95
"130406";"TABATINGA";25,75
"130410";"TAPAUA";18,74
"130420";"TEFE";32,65
"130423";"TONANTINS";9,34
"130426";"UARINI";12,96
"130430";"URUCARA";10,59
"130440";"URUCURITUBA";22,7
"140002";"AMAJARI";10,72
"140005";"ALTO ALEGRE";18,7
"140010";"BOA VISTA";55,38
"140015";"BONFIM";39,93
"140017";"CANTA";11,26
"140020";"CARACARAI";58,03
"140023";"CAROEBE";15,59
"140028";"IRACEMA";51,16
"140030";"MUCAJAI";3,95
"140040";"NORMANDIA";16,46
"140045";"PACARAIMA";25,99
"140047";"RORAINOPOLIS";11,66
"140050";"SAO JOAO DA BALIZA";25,84
"140060";"SAO LUIZ";44,23
"140070";"UIRAMUTA";5,61
"150010";"ABAETETUBA";17,63
"150013";"ABEL FIGUEIREDO";9,79
"150020";"ACARA";6,4
"150030";"AFUA";3,61
"150034";"AGUA AZUL DO NORTE";20,37
"150040";"ALENQUER";20,31
"150050";"ALMEIRIM";34,88
"150060";"ALTAMIRA";18,75
"150070";"ANAJAS";9,37
"150080";"ANANINDEUA";55,45
"150085";"ANAPU";1,75
"150090";"AUGUSTO CORREA";26,8
"150095";"AURORA DO PARA";18,41
"150100";"AVEIRO";8,55
"150110";"BAGRE";2,96
"150120";"BAIAO";24,24
"150125";"BANNACH";1,83
"150130";"BARCARENA";29,4
"150140";"BELEM";68,41
"150145";"BELTERRA";21,24
"150150";"BENEVIDES";17,4
"150157";"BOM JESUS DO TOCANTINS";13,23
"150160";"BONITO";13,94
"150170";"BRAGANCA";14,75
"150172";"BRASIL NOVO";2,52
"150175";"BREJO GRANDE DO ARAGUAIA";7,63
"150178";"BREU BRANCO";5,48
"150180";"BREVES";7,6
"150190";"BUJARU";10,62
"150195";"CACHOEIRA DO PIRIA";2,94
"150200";"CACHOEIRA DO ARARI";39,01
"150210";"CAMETA";11,43
"150215";"CANAA DOS CARAJAS";36,85
"150220";"CAPANEMA";65,76
"150230";"CAPITAO POCO";3,31
"150240";"CASTANHAL";36,39
"150250";"CHAVES";2
"150260";"COLARES";2,01
"150270";"CONCEICAO DO ARAGUAIA";4,77
"150275";"CONCORDIA DO PARA";6,81
"150276";"CUMARU DO NORTE";1,66
"150277";"CURIONOPOLIS";4,51
"150280";"CURRALINHO";1,52
"150285";"CURUA";1,18
"150290";"CURUCA";23,11
"150293";"DOM ELISEU";7,15
"150295";"ELDORADO DOS CARAJAS";7,63
"150300";"FARO";2,11
