"code_muni";"munname";"prop_residuo"
"110001";"ALTA FLORESTA D'OESTE";56,86
"110002";"ARIQUEMES";85,14
"110003";"CABIXI";49,77
"110004";"CACOAL";78,94
"110005";"CEREJEIRAS";78,35
"110006";"COLORADO DO OESTE";69,11
"110007";"CORUMBIARA";37,83
"110008";"COSTA MARQUES";55,74
"110009";"ESPIGAO D'OESTE";66,43
"110010";"GUAJARA-MIRIM";79,55
"110011";"JARU";71,63
"110012";"JI-PARANA";86,94
"110013";"MACHADINHO D'OESTE";50,74
"110014";"NOVA BRASILANDIA D'OESTE";42,43
"110015";"OURO PRETO DO OESTE";75,12
"110018";"PIMENTA BUENO";85,35
"110020";"PORTO VELHO";89,54
"110025";"PRESIDENTE MEDICI";56,8
"110026";"RIO CRESPO";34,3
"110028";"ROLIM DE MOURA";82,94
"110029";"SANTA LUZIA D'OESTE";41,8
"110030";"VILHENA";93,6
"110032";"SAO MIGUEL DO GUAPORE";45,48
"110033";"NOVA MAMORE";47,01
"110034";"ALVORADA D'OESTE";51,11
"110037";"ALTO ALEGRE DOS PARECIS";37,36
"110040";"ALTO PARAISO";42,52
"110045";"BURITIS";64,54
"110050";"NOVO HORIZONTE DO OESTE";33,79
"110060";"CACAULANDIA";35,7
"110070";"CAMPO NOVO DE RONDONIA";27,08
"110080";"CANDEIAS DO JAMARI";55,51
"110090";"CASTANHEIRAS";25,63
"110092";"CHUPINGUAIA";58,97
"110094";"CUJUBIM";60,25
"110100";"GOVERNADOR JORGE TEIXEIRA";27,44
"110110";"ITAPUA DO OESTE";56,18
"110120";"MINISTRO ANDREAZZA";38,29
"110130";"MIRANTE DA SERRA";48,62
"110140";"MONTE NEGRO";46,67
"110143";"NOVA UNIAO";23,38
"110145";"PARECIS";38,44
"110146";"PIMENTEIRAS DO OESTE";50,43
"110147";"PRIMAVERA DE RONDONIA";44,11
"110148";"SAO FELIPE D'OESTE";33,15
"110149";"SAO FRANCISCO DO GUAPORE";47,04
"110150";"SERINGUEIRAS";39,47
"110155";"TEIXEIROPOLIS";34,51
"110160";"THEOBROMA";24,29
"110170";"URUPA";39,05
"110175";"VALE DO ANARI";33,64
"110180";"VALE DO PARAISO";33,59
"120001";"ACRELANDIA";48,83
"120005";"ASSIS BRASIL";61,4
"120010";"BRASILEIA";67,91
"120013";"BUJARI";47
"120017";"CAPIXABA";44,24
"120020";"CRUZEIRO DO SUL";68,32
"120025";"EPITACIOLANDIA";68,59
"120030";"FEIJO";51,27
"120032";"JORDAO";38,3
"120033";"MANCIO LIMA";50,9
"120034";"MANOEL URBANO";52,96
"120035";"MARECHAL THAUMATURGO";32,58
"120038";"PLACIDO DE CASTRO";55,38
"120039";"PORTO WALTER";20,57
"120040";"RIO BRANCO";92,98
"120042";"RODRIGUES ALVES";38,52
"120043";"SANTA ROSA DO PURUS";47,19
"120045";"SENADOR GUIOMARD";64,22
"120050";"SENA MADUREIRA";63,33
"120060";"TARAUACA";49,22
"120070";"XAPURI";64,17
"120080";"PORTO ACRE";51,12
"130002";"ALVARAES";49,29
"130006";"AMATURA";42,25
"130008";"ANAMA";41,91
"130010";"ANORI";51,63
"130014";"APUI";53,56
"130020";"ATALAIA DO NORTE";26,65
"130030";"AUTAZES";46,8
"130040";"BARCELOS";50,22
"130050";"BARREIRINHA";30,08
"130060";"BENJAMIN CONSTANT";53,4
"130063";"BERURI";39,61
"130068";"BOA VISTA DO RAMOS";46,23
"130070";"BOCA DO ACRE";49,61
"130080";"BORBA";50,28
"130083";"CAAPIRANGA";41,7
"130090";"CANUTAMA";35,23
"130100";"CARAUARI";72,31
"130110";"CAREIRO";38,9
"130115";"CAREIRO DA VARZEA";12,49
"130120";"COARI";60,33
"130130";"CODAJAS";61,24
"130140";"EIRUNEPE";33,47
"130150";"ENVIRA";62,83
"130160";"FONTE BOA";49,85
"130165";"GUAJARA";44,79
"130170";"HUMAITA";67,84
"130180";"IPIXUNA";34,27
"130185";"IRANDUBA";78,41
"130190";"ITACOATIARA";72,49
"130195";"ITAMARATI";34,65
"130200";"ITAPIRANGA";69,3
"130210";"JAPURA";30,43
"130220";"JURUA";41,61
"130230";"JUTAI";11,98
"130240";"LABREA";53
"130250";"MANACAPURU";70,56
"130255";"MANAQUIRI";30,57
"130260";"MANAUS";98
"130270";"MANICORE";46,26
"130280";"MARAA";42,39
"130290";"MAUES";49,57
"130300";"NHAMUNDA";34,25
"130310";"NOVA OLINDA DO NORTE";49,1
"130320";"NOVO AIRAO";65,35
"130330";"NOVO ARIPUANA";26,68
"130340";"PARINTINS";62,59
"130350";"PAUINI";28,96
"130353";"PRESIDENTE FIGUEIREDO";66,99
"130356";"RIO PRETO DA EVA";46,47
"130360";"SANTA ISABEL DO RIO NEGRO";44,01
"130370";"SANTO ANTONIO DO ICA";38,3
"130380";"SAO GABRIEL DA CACHOEIRA";51,38
"130390";"SAO PAULO DE OLIVENCA";0,15
"130395";"SAO SEBASTIAO DO UATUMA";57,99
"130400";"SILVES";50,23
"130406";"TABATINGA";70,74
"130410";"TAPAUA";50,33
"130420";"TEFE";68,47
"130423";"TONANTINS";29,51
"130426";"UARINI";46,03
"130430";"URUCARA";64,11
"130440";"URUCURITUBA";52,29
"140002";"AMAJARI";22,96
"140005";"ALTO ALEGRE";36,24
"140010";"BOA VISTA";96,36
"140015";"BONFIM";34,74
"140017";"CANTA";23,86
"140020";"CARACARAI";61,18
"140023";"CAROEBE";44,68
"140028";"IRACEMA";45,7
"140030";"MUCAJAI";56,09
"140040";"NORMANDIA";22,44
"140045";"PACARAIMA";54,07
"140047";"RORAINOPOLIS";56,06
"140050";"SAO JOAO DA BALIZA";65,4
"140060";"SAO LUIZ";65,86
"140070";"UIRAMUTA";11,01
"150010";"ABAETETUBA";63,13
"150013";"ABEL FIGUEIREDO";81,63
"150020";"ACARA";25,89
"150030";"AFUA";29,64
"150034";"AGUA AZUL DO NORTE";31,57
"150040";"ALENQUER";45,45
"150050";"ALMEIRIM";64,8
"150060";"ALTAMIRA";79,6
"150070";"ANAJAS";35,89
"150080";"ANANINDEUA";97,75
"150085";"ANAPU";41,42
"150090";"AUGUSTO CORREA";28,12
"150095";"AURORA DO PARA";30,18
"150100";"AVEIRO";19
"150110";"BAGRE";37,99
"150120";"BAIAO";34,88
"150125";"BANNACH";34,65
"150130";"BARCARENA";82,96
"150140";"BELEM";96,72
"150145";"BELTERRA";39,76
"150150";"BENEVIDES";85,42
"150157";"BOM JESUS DO TOCANTINS";54,85
"150160";"BONITO";33,57
"150170";"BRAGANCA";61,48
"150172";"BRASIL NOVO";45,85
"150175";"BREJO GRANDE DO ARAGUAIA";43,75
"150178";"BREU BRANCO";64,26
"150180";"BREVES";53,87
"150190";"BUJARU";31,05
"150195";"CACHOEIRA DO PIRIA";18,85
"150200";"CACHOEIRA DO ARARI";32,6
"150210";"CAMETA";44,61
"150215";"CANAA DOS CARAJAS";84,2
"150220";"CAPANEMA";82,88
"150230";"CAPITAO POCO";49,22
"150240";"CASTANHAL";90,27
"150250";"CHAVES";13,65
"150260";"COLARES";32,04
"150270";"CONCEICAO DO ARAGUAIA";66,66
"150275";"CONCORDIA DO PARA";56,71
"150276";"CUMARU DO NORTE";26,67
"150277";"CURIONOPOLIS";46,46
"150280";"CURRALINHO";31,25
"150285";"CURUA";18,09
"150290";"CURUCA";51,89
"150293";"DOM ELISEU";71,34
"150295";"ELDORADO DOS CARAJAS";32,12
"150300";"FARO";38,01
"150304";"FLORESTA DO ARAGUAIA";27,91
"150307";"GARRAFAO DO NORTE";29,82
"150309";"GOIANESIA DO PARA";61,92
"150310";"GURUPA";35,87
"150320";"IGARAPE-ACU";65,59
"150330";"IGARAPE-MIRI";45,42
"150340";"INHANGAPI";34,08
"150345";"IPIXUNA DO PARA";46,24
"150350";"IRITUIA";29,69
"150360";"ITAITUBA";76,45
"150370";"ITUPIRANGA";47,21
"150375";"JACAREACANGA";35,13
"150380";"JACUNDA";80,21
"150390";"JURUTI";51,32
"150400";"LIMOEIRO DO AJURU";25,17
"150405";"MAE DO RIO";83,69
"150410";"MAGALHAES BARATA";37,51
"150420";"MARABA";78,53
"150430";"MARACANA";29,98
"150440";"MARAPANIM";57,38
"150442";"MARITUBA";89,35
"150445";"MEDICILANDIA";30,94
"150450";"MELGACO";24,06
"150460";"MOCAJUBA";64,16
"150470";"MOJU";35,9
"150480";"MONTE ALEGRE";37,36
"150490";"MUANA";42,72
"150495";"NOVA ESPERANCA DO PIRIA";51,58
"150497";"NOVA IPIXUNA";46,86
"150500";"NOVA TIMBOTEUA";63,03
"150503";"NOVO PROGRESSO";76,6
"150506";"NOVO REPARTIMENTO";48,21
"150510";"OBIDOS";44,5
"150520";"OEIRAS DO PARA";40,44
"150530";"ORIXIMINA";57,93
"150540";"OUREM";61,61
"150543";"OURILANDIA DO NORTE";75,31
"150548";"PACAJA";29,49
"150549";"PALESTINA DO PARA";38,57
"150550";"PARAGOMINAS";87,66
"150553";"PARAUAPEBAS";95,6
"150555";"PAU D'ARCO";43,8
"150560";"PEIXE-BOI";49,8
"150563";"PICARRA";38,77
"150565";"PLACAS";29,8
"150570";"PONTA DE PEDRAS";41,01
"150580";"PORTEL";47,25
"150590";"PORTO DE MOZ";25
"150600";"PRAINHA";22,23
"150610";"PRIMAVERA";52,72
"150611";"QUATIPURU";60,2
"150613";"REDENCAO";81,4
"150616";"RIO MARIA";69,12
"150618";"RONDON DO PARA";72,53
"150619";"RUROPOLIS";34,9
"150620";"SALINOPOLIS";79,79
"150630";"SALVATERRA";37,04
"150635";"SANTA BARBARA DO PARA";52,55
"150640";"SANTA CRUZ DO ARARI";64,02
"150650";"SANTA IZABEL DO PARA";74,45
"150655";"SANTA LUZIA DO PARA";49,84
"150658";"SANTA MARIA DAS BARREIRAS";30,57
"150660";"SANTA MARIA DO PARA";66,94
"150670";"SANTANA DO ARAGUAIA";55,52
"150680";"SANTAREM";75,65
"150690";"SANTAREM NOVO";55,72
"150700";"SANTO ANTONIO DO TAUA";60,17
"150710";"SAO CAETANO DE ODIVELAS";47,84
"150715";"SAO DOMINGOS DO ARAGUAIA";57,9
"150720";"SAO DOMINGOS DO CAPIM";40,92
"150730";"SAO FELIX DO XINGU";49,26
"150740";"SAO FRANCISCO DO PARA";49,33
"150745";"SAO GERALDO DO ARAGUAIA";61,57
"150746";"SAO JOAO DA PONTA";73,34
"150747";"SAO JOAO DE PIRABAS";40,9
"150750";"SAO JOAO DO ARAGUAIA";10,87
"150760";"SAO MIGUEL DO GUAMA";55,13
"150770";"SAO SEBASTIAO DA BOA VISTA";41,64
"150775";"SAPUCAIA";74,13
"150780";"SENADOR JOSE PORFIRIO";43,49
"150790";"SOURE";76,38
"150795";"TAILANDIA";85,61
"150796";"TERRA ALTA";67,17
"150797";"TERRA SANTA";74,23
"150800";"TOME-ACU";61,21
"150803";"TRACUATEUA";32,7
"150805";"TRAIRAO";49,34
"150808";"TUCUMA";66,08
"150810";"TUCURUI";92,3
"150812";"ULIANOPOLIS";69,34
"150815";"URUARA";51,8
"150820";"VIGIA";70,66
"150830";"VISEU";18,91
"150835";"VITORIA DO XINGU";18,78
"150840";"XINGUARA";79,26
"160005";"SERRA DO NAVIO";87,7
"160010";"AMAPA";82,73
"160015";"PEDRA BRANCA DO AMAPARI";62,8
"160020";"CALCOENE";73,42
"160021";"CUTIAS";65,31
"160023";"FERREIRA GOMES";74,13
"160025";"ITAUBAL";59,71
"160027";"LARANJAL DO JARI";86,35
"160030";"MACAPA";95,88
"160040";"MAZAGAO";38,17
"160050";"OIAPOQUE";74,45
"160053";"PORTO GRANDE";67,02
"160055";"PRACUUBA";69,79
"160060";"SANTANA";93,27
"160070";"TARTARUGALZINHO";48,9
"160080";"VITORIA DO JARI";88,06
"170025";"ABREULANDIA";56,71
"170030";"AGUIARNOPOLIS";78,9
"170035";"ALIANCA DO TOCANTINS";79
"170040";"ALMAS";58,44
"170070";"ALVORADA";90,83
"170100";"ANANAS";72,65
"170105";"ANGICO";51,9
"170110";"APARECIDA DO RIO NEGRO";73,52
"170130";"ARAGOMINAS";41,34
"170190";"ARAGUACEMA";45,9
"170200";"ARAGUACU";67,76
"170210";"ARAGUAINA";91,99
"170215";"ARAGUANA";78,46
"170220";"ARAGUATINS";61,33
"170230";"ARAPOEMA";75,52
"170240";"ARRAIAS";62,33
"170255";"AUGUSTINOPOLIS";73,99
"170270";"AURORA DO TOCANTINS";62,53
"170290";"AXIXA DO TOCANTINS";67,99
"170300";"BABACULANDIA";46,08
"170305";"BANDEIRANTES DO TOCANTINS";53,45
"170307";"BARRA DO OURO";57,98
"170310";"BARROLANDIA";82,44
"170320";"BERNARDO SAYAO";61,98
"170330";"BOM JESUS DO TOCANTINS";62,86
"170360";"BRASILANDIA DO TOCANTINS";67,38
"170370";"BREJINHO DE NAZARE";75,5
"170380";"BURITI DO TOCANTINS";57,54
"170382";"CACHOEIRINHA";33,75
"170384";"CAMPOS LINDOS";51,91
"170386";"CARIRI DO TOCANTINS";59,03
"170388";"CARMOLANDIA";77,41
"170389";"CARRASCO BONITO";74,52
"170390";"CASEARA";56,45
"170410";"CENTENARIO";56,41
"170460";"CHAPADA DE AREIA";52,64
"170510";"CHAPADA DA NATIVIDADE";46,92
"170550";"COLINAS DO TOCANTINS";93,52
"170555";"COMBINADO";66,46
"170560";"CONCEICAO DO TOCANTINS";61,23
"170600";"COUTO MAGALHAES";44,26
"170610";"CRISTALANDIA";80,88
"170625";"CRIXAS DO TOCANTINS";54,7
"170650";"DARCINOPOLIS";62,08
"170700";"DIANOPOLIS";84,46
"170710";"DIVINOPOLIS DO TOCANTINS";67,29
"170720";"DOIS IRMAOS DO TOCANTINS";39,56
"170730";"DUERE";61,2
"170740";"ESPERANTINA";40,1
"170755";"FATIMA";80,32
"170765";"FIGUEIROPOLIS";72,26
"170770";"FILADELFIA";53,16
"170820";"FORMOSO DO ARAGUAIA";70,23
"170825";"FORTALEZA DO TABOCAO";87,64
"170830";"GOIANORTE";52,69
"170900";"GOIATINS";37,49
"170930";"GUARAI";89,4
"170950";"GURUPI";95,76
"170980";"IPUEIRAS";68,53
"171050";"ITACAJA";65,42
"171070";"ITAGUATINS";49,19
"171090";"ITAPIRATINS";52,51
"171110";"ITAPORA DO TOCANTINS";61,93
"171150";"JAU DO TOCANTINS";49,52
"171180";"JUARINA";49,12
"171190";"LAGOA DA CONFUSAO";68,52
"171195";"LAGOA DO TOCANTINS";65,96
"171200";"LAJEADO";78,9
"171215";"LAVANDEIRA";57,14
"171240";"LIZARDA";23,28
"171245";"LUZINOPOLIS";70,98
"171250";"MARIANOPOLIS DO TOCANTINS";51,61
"171270";"MATEIROS";62,05
"171280";"MAURILANDIA DO TOCANTINS";51,06
"171320";"MIRACEMA DO TOCANTINS";84,61
"171330";"MIRANORTE";86,81
"171360";"MONTE DO CARMO";42,23
"171370";"MONTE SANTO DO TOCANTINS";51,16
"171380";"PALMEIRAS DO TOCANTINS";48,94
"171395";"MURICILANDIA";55,77
"171420";"NATIVIDADE";72,6
"171430";"NAZARE";40,31
"171488";"NOVA OLINDA";64,07
"171500";"NOVA ROSALANDIA";73,31
"171510";"NOVO ACORDO";74,81
"171515";"NOVO ALEGRE";74,89
"171525";"NOVO JARDIM";80,13
"171550";"OLIVEIRA DE FATIMA";73,04
"171570";"PALMEIRANTE";16,29
"171575";"PALMEIROPOLIS";76,42
"171610";"PARAISO DO TOCANTINS";94,73
"171620";"PARANA";48,79
"171630";"PAU D'ARCO";52,37
"171650";"PEDRO AFONSO";85,31
"171660";"PEIXE";50,72
"171665";"PEQUIZEIRO";48,15
"171670";"COLMEIA";72,67
"171700";"PINDORAMA DO TOCANTINS";64,06
"171720";"PIRAQUE";35,57
"171750";"PIUM";57,52
