muni_code;dengue_pattern_10_19;dengue_pattern_20_22;Transition;temp_med;umid_med;precip_tot;thr_temp;thr_umid;thr_prec;thr_temp_umid;muni_name;uf_code;uf_acr;tipo_regiao;bioma;altitude;koppen;pop22;prop_esgot;prop_abast;prop_residuo
1100015;Episódico/Epidêmico;Epidêmico;Piorou;25,5;75,7;591,3;361;307,7;5;305,3;Alta Floresta D'oeste;11;RO;nao metropolitana;amazonia;246,08;Am;21558;2,24;93,68;56,86
1100023;Epidêmico;Epidêmico;Se manteve;26,1;78,1;625,5;365;324,7;5;324;Ariquemes;11;RO;nao metropolitana;amazonia;165,9;Am;100896;8,91;98,57;85,14
1100031;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve;25,3;75,9;479,8;356,7;319,7;3;314;Cabixi;11;RO;nao metropolitana;amazonia;224,18;Am;5107;21,01;95,49;49,77
1100049;Epidêmico;Epidêmico;Se manteve;25,8;76,7;639,2;363;319,7;6,3;317,7;Cacoal;11;RO;metropolitana;amazonia;229,95;Am;92202;54,03;98,16;78,94
1100056;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve;25,4;75,7;505,2;357;317,3;4;311,7;Cerejeiras;11;RO;nao metropolitana;amazonia;192,22;Am;15237;16,73;98,62;78,35
1100064;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve;25,1;75,6;542,1;357;312,7;5;307,7;Colorado Do Oeste;11;RO;nao metropolitana;amazonia;359,62;Am;15747;5,17;95,54;69,11
1100072;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve;25,2;76,2;545,8;358;317;4;312,3;Corumbiara;11;RO;nao metropolitana;amazonia;266,89;Am;7503;11,55;93,4;37,83
1100080;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve;26;79,3;572,2;359,3;350,3;4,3;345,3;Costa Marques;11;RO;nao metropolitana;amazonia;190,01;Am;12633;7,91;96,38;55,74
1100098;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve;25,7;76,8;596,2;362,7;324,7;4;322,7;Espigão D'oeste;11;RO;nao metropolitana;amazonia;296,94;Am;29722;13,77;94,23;66,43
1100106;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve;26,2;80;608,6;362,7;347,3;5;344,7;Guajará-Mirim;11;RO;nao metropolitana;amazonia;197,96;Am;39396;22,19;93,34;79,55
1100114;Episódico/Epidêmico;Epidêmico;Piorou;26;77,6;610,8;365;324,3;7;323,7;Jaru;11;RO;nao metropolitana;amazonia;209,76;Am;52090;3,36;97,09;71,63
1100122;Epidêmico;Epidêmico;Se manteve;26;77,1;619,8;363,7;322,7;7,3;321;Ji-Paraná;11;RO;metropolitana;amazonia;193,68;Am;136825;20,43;97,82;86,94
1100130;Episódico/Epidêmico;Epidêmico;Piorou;26,2;79,7;670,5;365,3;337,7;5,3;337;Machadinho D'oeste;11;RO;nao metropolitana;amazonia;136,83;Am;30626;2,12;94,67;50,74
1100148;Epidêmico;Epidêmico;Se manteve;25,3;76,4;627,6;360,7;310,3;5;307,7;Nova Brasilândia D'oeste;11;RO;nao metropolitana;amazonia;249,3;Am;17355;3,84;94,07;42,43
1100155;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve;26;76,7;600,7;364;319;5,7;317,7;Ouro Preto Do Oeste;11;RO;nao metropolitana;amazonia;220,01;Am;36753;10,17;97,8;75,12
1100189;Epidêmico;Epidêmico;Se manteve;25,7;76,8;596,2;362,7;324,7;4;322,7;Pimenta Bueno;11;RO;nao metropolitana;amazonia;286,28;Am;37464;38,34;97,21;85,35
1100205;Epidêmico;Epidêmico;Se manteve;26,5;81,5;712,8;365,3;359;6;358;Porto Velho;11;RO;metropolitana;amazonia;120,26;Am;461748;43,41;92,92;89,54
1100254;Episódico/Epidêmico;Epidêmico;Piorou;26;76,8;623;363,3;321,3;7;319,7;Presidente Médici;11;RO;nao metropolitana;amazonia;210,79;Am;19316;1,64;94,6;56,8
1100262;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve;26,2;78,9;672,9;365;329,7;6;328,7;Rio Crespo;11;RO;nao metropolitana;amazonia;153,27;Am;3476;22,57;97,99;34,3
1100288;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve;25,6;75,7;566,5;361,7;315;5;312,7;Rolim De Moura;11;RO;nao metropolitana;amazonia;242,23;Am;57180;14,98;97,4;82,94
1100296;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve;25,3;76,1;587,7;360,3;312,3;5,7;309,3;Santa Luzia D'oeste;11;RO;nao metropolitana;amazonia;341,63;Am;7394;1,97;93,08;41,8
1100304;Epidêmico;Epidêmico;Se manteve;24,7;75,2;583,7;356,7;306,3;4,7;300,7;Vilhena;11;RO;nao metropolitana;amazonia;409,37;Am;95599;13,51;98,15;93,6
1100320;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve;25,8;77,1;618,9;361,3;320;6;317,7;São Miguel Do Guaporé;11;RO;nao metropolitana;amazonia;236,82;Am;21612;9,98;97,43;45,48
1100338;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve;26,1;79,8;635,8;363,3;344,7;4,7;342,3;Nova Mamoré;11;RO;nao metropolitana;amazonia;205,24;Am;25452;7,88;94,91;47,01
1100346;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve;25,8;76,6;621,8;363,3;317,7;7,3;316,3;Alvorada D'oeste;11;RO;nao metropolitana;amazonia;248,65;Am;13092;35,84;94,67;51,11
1100379;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve;25,1;76,9;651,8;358;317,3;6,3;312;Alto Alegre Dos Parecis;11;RO;nao metropolitana;amazonia;255,49;Am;13023;0,54;93,58;37,36
1100403;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve;26,2;78,7;631,4;365;329;5,7;328,3;Alto Paraíso;11;RO;nao metropolitana;amazonia;134,69;Am;17140;10,83;95,28;42,52
1100452;Epidêmico;Epidêmico;Se manteve;25,8;78,5;610,8;364;330;4,3;328,7;Buritis;11;RO;nao metropolitana;amazonia;170,1;Am;28178;1,82;90,12;64,54
1100502;Episódico/Epidêmico;Episódico;Melhorou;25,9;75,6;579,1;363,3;314,3;5,3;312,7;Novo Horizonte Do Oeste;11;RO;nao metropolitana;amazonia;252,89;Am;7653;9,45;92,65;33,79
1100601;Episódico;Episódico/Epidêmico;Piorou;25,9;78,4;605,7;364;328,3;5,3;327;Cacaulândia;11;RO;nao metropolitana;amazonia;191,55;Am;4157;21,81;93,68;35,7
