muni_code_6;munname;prop_esgot;prop_abast;prop_residuo
110001;ALTA FLORESTA D'OESTE;2,24;93,68;56,86
110002;ARIQUEMES;8,91;98,57;85,14
110003;CABIXI;21,01;95,49;49,77
110004;CACOAL;54,03;98,16;78,94
110005;CEREJEIRAS;16,73;98,62;78,35
110006;COLORADO DO OESTE;5,17;95,54;69,11
110007;CORUMBIARA;11,55;93,4;37,83
110008;COSTA MARQUES;7,91;96,38;55,74
110009;ESPIGAO D'OESTE;13,77;94,23;66,43
110010;GUAJARA-MIRIM;22,19;93,34;79,55
110011;JARU;3,36;97,09;71,63
110012;JI-PARANA;20,43;97,82;86,94
110013;MACHADINHO D'OESTE;2,12;94,67;50,74
110014;NOVA BRASILANDIA D'OESTE;3,84;94,07;42,43
110015;OURO PRETO DO OESTE;10,17;97,8;75,12
110018;PIMENTA BUENO;38,34;97,21;85,35
110020;PORTO VELHO;43,41;92,92;89,54
110025;PRESIDENTE MEDICI;1,64;94,6;56,8
110026;RIO CRESPO;22,57;97,99;34,3
110028;ROLIM DE MOURA;14,98;97,4;82,94
110029;SANTA LUZIA D'OESTE;1,97;93,08;41,8
110030;VILHENA;13,51;98,15;93,6
110032;SAO MIGUEL DO GUAPORE;9,98;97,43;45,48
110033;NOVA MAMORE;7,88;94,91;47,01
110034;ALVORADA D'OESTE;35,84;94,67;51,11
110037;ALTO ALEGRE DOS PARECIS;0,54;93,58;37,36
110040;ALTO PARAISO;10,83;95,28;42,52
110045;BURITIS;1,82;90,12;64,54
110050;NOVO HORIZONTE DO OESTE;9,45;92,65;33,79
110060;CACAULANDIA;21,81;93,68;35,7
110070;CAMPO NOVO DE RONDONIA;19,87;91,75;27,08
110080;CANDEIAS DO JAMARI;9,02;95,9;55,51
110090;CASTANHEIRAS;1,44;95,21;25,63
110092;CHUPINGUAIA;2,69;85,16;58,97
110094;CUJUBIM;7,37;94,27;60,25
110100;GOVERNADOR JORGE TEIXEIRA;30,96;95,18;27,44
110110;ITAPUA DO OESTE;3,2;94,44;56,18
110120;MINISTRO ANDREAZZA;4,55;92,13;38,29
110130;MIRANTE DA SERRA;1,34;96,64;48,62
110140;MONTE NEGRO;1,3;98,33;46,67
110143;NOVA UNIAO;1,1;90,86;23,38
110145;PARECIS;0,65;87,25;38,44
110146;PIMENTEIRAS DO OESTE;18,71;97,57;50,43
110147;PRIMAVERA DE RONDONIA;1,94;96,29;44,11
110148;SAO FELIPE D'OESTE;16,02;92,1;33,15
110149;SAO FRANCISCO DO GUAPORE;3,85;96,28;47,04
110150;SERINGUEIRAS;19,63;97,53;39,47
110155;TEIXEIROPOLIS;2,04;95,05;34,51
110160;THEOBROMA;11,02;96,15;24,29
110170;URUPA;11,53;93,24;39,05
110175;VALE DO ANARI;0,68;94,15;33,64
110180;VALE DO PARAISO;0,29;96,71;33,59
120001;ACRELANDIA;11,7;93,87;48,83
120005;ASSIS BRASIL;24,82;81,68;61,4
120010;BRASILEIA;29,63;91,66;67,91
120013;BUJARI;19,35;81,89;47
120017;CAPIXABA;34;86,57;44,24
120020;CRUZEIRO DO SUL;13,9;79,14;68,32
120025;EPITACIOLANDIA;21,2;89,66;68,59
120030;FEIJO;10,3;69,53;51,27
120032;JORDAO;5,29;46,28;38,3
120033;MANCIO LIMA;6,75;80,26;50,9
120034;MANOEL URBANO;12,92;80,41;52,96
120035;MARECHAL THAUMATURGO;8,36;50,77;32,58
120038;PLACIDO DE CASTRO;14,63;91,46;55,38
120039;PORTO WALTER;0,71;44,36;20,57
120040;RIO BRANCO;57,97;94,1;92,98
120042;RODRIGUES ALVES;9,23;71,48;38,52
120043;SANTA ROSA DO PURUS;4,78;66,29;47,19
120045;SENADOR GUIOMARD;24,13;92,4;64,22
120050;SENA MADUREIRA;13,29;82,57;63,33
120060;TARAUACA;10,93;60,4;49,22
120070;XAPURI;29,33;86,75;64,17
120080;PORTO ACRE;11,96;84,46;51,12
130002;ALVARAES;31,36;48,93;49,29
130006;AMATURA;7,69;66,64;42,25
130008;ANAMA;4,62;58,47;41,91
130010;ANORI;2,16;66,86;51,63
130014;APUI;9,53;86,82;53,56
130020;ATALAIA DO NORTE;0,97;36,29;26,65
130030;AUTAZES;20,38;57,01;46,8
130040;BARCELOS;15,48;50,28;50,22
130050;BARREIRINHA;4,15;55,14;30,08
130060;BENJAMIN CONSTANT;14,6;53,48;53,4
130063;BERURI;27,69;54,61;39,61
130068;BOA VISTA DO RAMOS;31,99;58,8;46,23
130070;BOCA DO ACRE;6,33;69,39;49,61
130080;BORBA;8,62;54,66;50,28
130083;CAAPIRANGA;33,01;29,69;41,7
130090;CANUTAMA;10,42;73,78;35,23
130100;CARAUARI;25,71;64,62;72,31
130110;CAREIRO;15,04;57,11;38,9
130115;CAREIRO DA VARZEA;5,62;14,95;12,49
130120;COARI;41,08;32,3;60,33
130130;CODAJAS;26,09;63,71;61,24
130140;EIRUNEPE;13,27;52,28;33,47
130150;ENVIRA;7,65;44,82;62,83
130160;FONTE BOA;2,25;67,65;49,85
130165;GUAJARA;8,22;62,11;44,79
130170;HUMAITA;16,26;78,16;67,84
130180;IPIXUNA;1,51;41,52;34,27
130185;IRANDUBA;14,38;70,95;78,41
130190;ITACOATIARA;20,77;78,88;72,49
130195;ITAMARATI;5,8;52,1;34,65
130200;ITAPIRANGA;6,63;82,83;69,3
130210;JAPURA;16,6;48,07;30,43
130220;JURUA;14,1;47,97;41,61
130230;JUTAI;0,98;63,73;11,98
130240;LABREA;19,96;48,21;53
130250;MANACAPURU;24,62;70,32;70,56
130255;MANAQUIRI;7,92;41,08;30,57
130260;MANAUS;63,33;89,78;98
130270;MANICORE;8,34;61,75;46,26
130280;MARAA;22,6;49,73;42,39
130290;MAUES;29,19;53,86;49,57
130300;NHAMUNDA;17,6;47,52;34,25
130310;NOVA OLINDA DO NORTE;15,05;55,94;49,1
130320;NOVO AIRAO;16,43;65,45;65,35
130330;NOVO ARIPUANA;14,95;62,63;26,68
130340;PARINTINS;20,52;73,24;62,59
130350;PAUINI;26,47;49,56;28,96
130353;PRESIDENTE FIGUEIREDO;37,54;83,42;66,99
130356;RIO PRETO DA EVA;10,01;79,17;46,47
130360;SANTA ISABEL DO RIO NEGRO;8,25;45,24;44,01
130370;SANTO ANTONIO DO ICA;3,83;50,65;38,3
130380;SAO GABRIEL DA CACHOEIRA;13,11;43,43;51,38
130390;SAO PAULO DE OLIVENCA;5,05;38,51;0,15
130395;SAO SEBASTIAO DO UATUMA;1,8;68,33;57,99
130400;SILVES;4,95;54,15;50,23
130406;TABATINGA;25,75;73,55;70,74
130410;TAPAUA;18,74;47,22;50,33
130420;TEFE;32,65;79,14;68,47
130423;TONANTINS;9,34;32,38;29,51
130426;UARINI;12,96;60,95;46,03
130430;URUCARA;10,59;80,65;64,11
130440;URUCURITUBA;22,7;64,7;52,29
140002;AMAJARI;10,72;55,89;22,96
140005;ALTO ALEGRE;18,7;65,25;36,24
140010;BOA VISTA;55,38;99,16;96,36
140015;BONFIM;39,93;91,78;34,74
140017;CANTA;11,26;93,4;23,86
140020;CARACARAI;58,03;88,53;61,18
140023;CAROEBE;15,59;94,48;44,68
140028;IRACEMA;51,16;80,99;45,7
140030;MUCAJAI;3,95;94,38;56,09
140040;NORMANDIA;16,46;65,16;22,44
140045;PACARAIMA;25,99;79,57;54,07
140047;RORAINOPOLIS;11,66;87,92;56,06
140050;SAO JOAO DA BALIZA;25,84;95,45;65,4
140060;SAO LUIZ;44,23;94,86;65,86
140070;UIRAMUTA;5,61;47,3;11,01
150010;ABAETETUBA;17,63;68,85;63,13
150013;ABEL FIGUEIREDO;9,79;91,75;81,63
150020;ACARA;6,4;64,02;25,89
150030;AFUA;3,61;26,56;29,64
150034;AGUA AZUL DO NORTE;20,37;94,37;31,57
150040;ALENQUER;20,31;79,14;45,45
150050;ALMEIRIM;34,88;78,53;64,8
150060;ALTAMIRA;18,75;86,98;79,6
150070;ANAJAS;9,37;21,06;35,89
150080;ANANINDEUA;55,45;92,1;97,75
150085;ANAPU;1,75;85,26;41,42
150090;AUGUSTO CORREA;26,8;82,76;28,12
150095;AURORA DO PARA;18,41;83,67;30,18
150100;AVEIRO;8,55;67,11;19
150110;BAGRE;2,96;43,17;37,99
150120;BAIAO;24,24;80,15;34,88
150125;BANNACH;1,83;87,7;34,65
150130;BARCARENA;29,4;82;82,96
150140;BELEM;68,41;96,09;96,72
150145;BELTERRA;21,24;68,7;39,76
150150;BENEVIDES;17,4;94,01;85,42
150157;BOM JESUS DO TOCANTINS;13,23;88,43;54,85
150160;BONITO;13,94;88,71;33,57
150170;BRAGANCA;14,75;73,89;61,48
150172;BRASIL NOVO;2,52;81,02;45,85
150175;BREJO GRANDE DO ARAGUAIA;7,63;93,52;43,75
150178;BREU BRANCO;5,48;88,19;64,26
150180;BREVES;7,6;45,63;53,87
150190;BUJARU;10,62;73,37;31,05
150195;CACHOEIRA DO PIRIA;2,94;71,33;18,85
150200;CACHOEIRA DO ARARI;39,01;76,66;32,6
150210;CAMETA;11,43;62,33;44,61
150215;CANAA DOS CARAJAS;36,85;94,89;84,2
150220;CAPANEMA;65,76;90,45;82,88
150230;CAPITAO POCO;3,31;86,79;49,22
150240;CASTANHAL;36,39;92,91;90,27
150250;CHAVES;2;27,88;13,65
150260;COLARES;2,01;88,59;32,04
150270;CONCEICAO DO ARAGUAIA;4,77;93,66;66,66
150275;CONCORDIA DO PARA;6,81;82,49;56,71
150276;CUMARU DO NORTE;1,66;80,99;26,67
150277;CURIONOPOLIS;4,51;69,93;46,46
150280;CURRALINHO;1,52;33,84;31,25
150285;CURUA;1,18;78,43;18,09
150290;CURUCA;23,11;92,5;51,89
150293;DOM ELISEU;7,15;83,71;71,34
