"municipio_geocodigo","ano_e","xp","tp","dc3","dc6","dcmax","dcmed","dci","ds3","ds6","dsmax","dsmed","inc","p","st"
1100015,2010,28,16,0,0,2,1.5,2,3,2,16,1,495.34,8,0.6
1100015,2011,8,46,0,0,2,2,0,4,2,9,2,184.77,4,1.69
1100015,2012,97,16,1,1,11,2,1,2,1,9,1.5,1320.91,17,1.36
1100015,2013,8,7,1,0,3,1,5,1,0,3,1,522.86,10,0.31
1100015,2014,23,23,1,1,7,2,1,3,0,3,2,629,12,2.96
1100015,2015,97,18,2,1,13,4,1,2,1,12,1,2626.1,18,3.35
1100015,2016,8,17,0,0,2,1,2,1,1,11,1,353.82,7,0.15
1100015,2017,6,10,0,0,1,1,2,2,0,4,1,294.85,4,0.14
1100015,2018,34,44,2,2,11,8.5,0,3,0,4,4,1100.76,20,1.74
1100015,2019,16,11,1,0,5,2,0,1,1,10,2,593.62,15,1.88
1100015,2020,2,20,0,0,0,0,0,6,2,7,3,70.76,0,0.14
1100015,2021,24,34,2,1,8,1,8,3,1,6,3,1033.93,21,4.23
1100015,2022,95,16,5,3,12,5,0,1,0,4,4,3663.95,42,0.48
1100023,2010,13,9,1,1,6,2,0,1,1,11,1,163.96,17,0.79
1100023,2011,7,4,0,0,1,1,2,1,0,3,1,71.73,5,0.3
1100023,2012,13,14,0,0,2,1,3,2,0,3,1,110.86,6,1.59
1100023,2013,29,11,2,2,12,7,1,1,0,4,1,277.61,22,1.45
1100023,2014,12,27,0,0,2,2,0,0,0,2,2,117.38,9,1.89
1100023,2015,46,24,1,1,23,1,3,1,0,3,1.5,526.34,28,1.85
1100023,2016,26,19,3,2,7,1,5,0,0,1,1,325.12,28,2.38
1100023,2017,5,14,0,0,0,0,0,4,0,4,2,42.85,2,1.12
1100023,2018,5,39,0,0,0,0,0,1,1,23,1,40.06,2,1.42
1100023,2019,15,20,5,1,11,3,2,1,1,7,4.5,291.58,30,1.03
1100023,2020,5,25,0,0,0,0,0,2,1,6,1,54.96,1,3.45
1100023,2021,123,40,1,1,37,19,1,1,0,4,2,1774.65,39,13.83
1100023,2022,69,2,3,3,20,1,4,1,0,4,1,718.24,37,9.76
1100031,2010,8,27,0,0,1,1,1,3,2,24,16,305.27,1,0.06
1100031,2011,4,22,0,0,0,0,0,4,2,9,4,915.81,0,0.24
1100031,2012,6,12,0,0,1,1,2,4,3,6,1.5,980.08,5,0.25
1100031,2013,2,22,0,0,0,0,0,5,4,10,8.5,192.8,0,0.07
1100031,2014,17,32,1,1,9,9,0,4,3,13,7.5,1831.62,9,0.7
1100031,2015,14,16,1,0,3,1,3,2,1,23,1.5,1301.41,9,0.73
1100031,2016,4,36,0,0,0,0,0,6,3,12,3,321.34,0,0.05
1100031,2017,4,32,0,0,0,0,0,4,4,20,6.5,176.74,0,0.05
1100031,2018,10,36,0,0,2,2,1,5,3,7,3,1092.54,5,0.6
1100031,2019,18,6,0,0,2,2,0,1,1,17,1,1397.81,4,0.6
1100031,2020,2,17,0,0,0,0,0,3,2,35,11,48.2,0,0.09
1100031,2021,12,25,0,0,1,1,2,3,3,21,8,562.34,4,0.38
1100031,2022,17,17,2,0,4,3,1,3,2,23,6,1703.08,8,0.03
1100049,2010,12,12,3,0,5,4,1,1,0,3,1,212.41,17,0.62
1100049,2011,11,18,0,0,1,1,3,0,0,2,1,135.58,6,2.74
1100049,2012,52,22,1,1,28,1,4,0,0,2,1,824.79,33,2.68
1100049,2013,16,28,1,1,6,1,3,0,0,2,2,222.58,16,1.85
1100049,2014,18,28,2,1,14,3,2,0,0,1,1,307.32,22,4.38
1100049,2015,77,20,1,1,20,2,1,1,0,3,1,927.61,26,4.35
1100049,2016,15,17,1,1,6,2,2,2,0,3,2,198.85,14,1.37
1100049,2017,9,31,1,0,4,1,4,1,0,4,1,154.79,9,0.59
1100049,2018,9,31,0,0,2,1,2,0,0,2,1,151.4,7,0.29
1100049,2019,14,23,3,1,10,3,1,0,0,1,1,299.41,24,1.11
1100049,2020,15,20,2,1,6,1.5,3,2,0,4,2,239.53,18,11.66
1100049,2021,182,21,1,1,30,2,1,1,0,3,1,2554.6,36,8.68
1100049,2022,56,24,2,1,21,2.5,1,1,0,4,1,882.42,29,2.67
1100056,2010,31,17,2,1,7,4,0,2,0,3,1,1159.81,16,0.37
1100056,2011,15,26,0,0,2,1,6,1,0,3,2,1014.83,11,3.79
1100056,2012,128,23,1,1,15,1,2,3,1,9,3,5124.34,18,4.37
1100056,2013,6,21,0,0,1,1,1,4,1,7,2,223.04,2,0.39
1100056,2014,7,39,0,0,1,1,1,3,1,6,1.5,384.74,2,2.51
1100056,2015,72,18,1,1,10,5.5,1,2,2,10,1.5,2743.39,14,1.18
1100056,2016,55,21,1,1,12,2,1,2,2,8,1,2029.66,15,1.74
1100056,2017,3,28,0,0,0,0,0,4,1,12,1.5,122.67,0,0.13
1100056,2018,4,23,0,0,0,0,0,4,2,13,2,128.25,0,0.98
1100056,2019,29,24,1,1,14,7.5,1,1,0,4,1,1433.03,18,0.94
1100056,2020,3,11,0,0,0,0,0,5,2,19,3,83.64,0,0.41
1100056,2021,7,32,0,0,2,1.5,1,2,1,24,2,262.07,3,1.25
1100056,2022,27,23,2,1,9,2,2,3,2,6,3,1371.7,19,0.16
1100064,2010,65,10,2,2,14,5.5,1,1,1,11,2,3443.98,26,2.04
1100064,2011,31,26,2,1,10,4,0,1,0,3,2,1407.92,18,0.39
1100064,2012,26,19,1,1,11,2,2,1,0,4,1,1370.01,18,0.49
