0;1;column;season;p-value;global
22.23 (3.43);22.43 (2.28);temp_med;Autumn;0,000136926;22.26 (3.3)
24.33 (3.24);24.68 (2.22);temp_med;Spring;5,99E-12;24.38 (3.13)
24.64 (1.92);24.84 (1.53);temp_med;Summer;5,10E-11;24.67 (1.87)
21.65 (4.45);22.07 (2.94);temp_med;Winter;5,05E-10;21.71 (4.28)
75.84 (7.7);72.92 (8.13);umid_med;Autumn;8,98E-122;75.44 (7.83)
70.23 (9.5);70.57 (8.27);umid_med;Spring;0,02426284;70.28 (9.34)
76.81 (7.1);78.05 (5.63);umid_med;Summer;2,96E-29;76.98 (6.94)
66.11 (13.67);61.45 (13.09);umid_med;Winter;1,24E-101;65.47 (13.68)
1169.49 (902.03);899.01 (743.49);precip_tot;Autumn;8,94E-82;1132.71 (887.01)
1341.43 (770.64);1515.21 (657.17);precip_tot;Spring;7,59E-47;1365.06 (758.55)
1912.53 (1010.49);2080.86 (832.97);precip_tot;Summer;1,54E-26;1935.42 (989.91)
568.89 (628.11);426.48 (440.15);precip_tot;Winter;6,70E-49;549.53 (607.95)
67.49 (29.78);72.0 (20.88);thr_temp;Autumn;8,51E-23;68.11 (28.77)
78.16 (20.46);84.54 (12.65);thr_temp;Spring;3,54E-92;79.02 (19.7)
86.75 (8.85);89.09 (3.67);thr_temp;Summer;6,57E-69;87.07 (8.38)
59.91 (35.28);65.05 (26.38);thr_temp;Winter;5,12E-21;60.61 (34.25)
82.82 (15.41);77.05 (18.18);thr_umid;Autumn;1,60E-114;82.03 (15.94)
70.84 (24.52);70.88 (18.71);thr_umid;Spring;0,910688459;70.84 (23.81)
83.11 (13.04);85.62 (8.71);thr_umid;Summer;4,23E-36;83.45 (12.57)
60.38 (34.77);48.88 (33.37);thr_umid;Winter;9,05E-96;58.81 (34.8)
25.69 (17.14);20.92 (15.65);thr_prec;Autumn;3,28E-69;25.04 (17.03)
28.48 (16.14);33.23 (13.87);thr_prec;Spring;2,43E-78;29.12 (15.93)
41.65 (19.08);45.62 (15.75);thr_prec;Summer;1,83E-40;42.19 (18.71)
12.43 (13.59);10.0 (11.26);thr_prec;Winter;2,93E-30;12.1 (13.32)
59.27 (28.88);58.94 (22.67);thr_temp_umid;Autumn;0,458523917;59.22 (28.11)
58.37 (25.11);64.74 (18.37);thr_temp_umid;Spring;3,13E-60;59.24 (24.4)
79.78 (14.59);84.55 (9.02);thr_temp_umid;Summer;2,54E-101;80.43 (14.06)
31.28 (33.75);27.51 (29.37);thr_temp_umid;Winter;1,16E-12;30.77 (33.21)
