,geocode,season,temp_med,umid_med,precip_tot,thr_temp,thr_umid,thr_prec,thr_temp_umid,year,dengue_pattern
0,2700102,Autumn,24.499336956521738,75.56375217391304,950.0245,92,86,22,86,2010,Episódico/Epidêmico
1,2700102,Spring,26.110110000000002,63.12255777777778,452.093,90,55,9,55,2010,Episódico/Epidêmico
2,2700102,Summer,26.810854444444445,64.19489888888889,621.8873,90,59,20,59,2010,Episódico/Epidêmico
3,2700102,Winter,22.189744565217392,74.24077934782609,534.1305,92,91,15,91,2010,Episódico/Epidêmico
4,2700201,Autumn,24.157385869565218,84.50289239130434,1865.353,92,92,57,92,2010,Episódico/Epidêmico
5,2700201,Spring,24.73079222222222,76.54165444444445,579.1945,90,90,15,90,2010,Episódico/Epidêmico
6,2700201,Summer,25.76744888888889,75.75079,630.5347,90,90,20,90,2010,Episódico/Epidêmico
7,2700201,Winter,22.05528152173913,83.33881195652174,1564.7588,92,92,48,92,2010,Episódico/Epidêmico
8,2700300,Autumn,24.211416304347825,82.64942934782609,1681.9875,92,92,47,92,2010,Epidêmico
9,2700300,Spring,25.13060222222222,72.69800333333333,461.5109,90,90,10,90,2010,Epidêmico
10,2700300,Summer,26.180394444444442,71.87329444444444,584.1576,90,90,18,90,2010,Epidêmico
11,2700300,Winter,21.917025,82.3244152173913,1180.2966,92,92,39,92,2010,Epidêmico
12,2700409,Autumn,24.413113043478262,84.9519652173913,2248.5824000000002,92,92,61,92,2010,Episódico/Epidêmico
13,2700409,Spring,24.904390000000003,77.19021666666666,641.3849,90,90,18,90,2010,Episódico/Epidêmico
14,2700409,Summer,25.84607111111111,77.10125222222221,724.6132,90,90,23,90,2010,Episódico/Epidêmico
15,2700409,Winter,22.449545652173914,83.127225,2135.7861,92,92,56,92,2010,Episódico/Epidêmico
16,2700508,Autumn,25.33451304347826,83.1413902173913,3299.4906,92,92,72,92,2010,Episódico
17,2700508,Spring,25.474674444444442,76.65457666666667,654.6869,90,90,27,90,2010,Episódico
18,2700508,Summer,26.190920000000002,78.19923888888889,1061.0185,90,90,42,90,2010,Episódico
19,2700508,Winter,23.804633695652175,78.88097282608696,2993.6755,92,92,65,92,2010,Episódico
20,2700607,Autumn,25.199654347826087,83.37523043478261,2772.7831,92,92,70,92,2010,Episódico/Epidêmico
21,2700607,Spring,25.55434777777778,76.01857888888888,644.8877,90,90,19,90,2010,Episódico/Epidêmico
22,2700607,Summer,26.369435555555558,76.94118888888889,1010.0953,90,90,40,90,2010,Episódico/Epidêmico
23,2700607,Winter,23.47883695652174,79.62073913043479,2264.1222,92,92,55,92,2010,Episódico/Epidêmico
24,2700706,Autumn,24.986047826086953,78.71362391304348,1318.9719,92,91,32,91,2010,Episódico
25,2700706,Spring,26.321035555555554,67.07080777777777,334.4962,90,80,7,80,2010,Episódico
26,2700706,Summer,27.26594777777778,66.99702555555555,438.6342,90,75,13,75,2010,Episódico
27,2700706,Winter,22.640042391304345,78.39537608695652,774.214,92,92,20,92,2010,Episódico
28,2700805,Autumn,23.811733695652176,83.9975043478261,1657.6803,92,92,51,92,2010,Episódico
29,2700805,Spring,24.459992222222223,75.58520999999999,595.9549,90,90,13,90,2010,Episódico
30,2700805,Summer,25.50147888888889,74.7098011111111,571.0661,90,90,18,90,2010,Episódico
31,2700805,Winter,21.59435108695652,83.57606413043479,1440.0431,92,92,49,92,2010,Episódico
32,2700904,Autumn,25.23604456521739,78.00080217391304,1215.1098,92,90,30,90,2010,Episódico
33,2700904,Spring,26.65891,66.15840777777778,337.69,90,76,6,76,2010,Episódico
34,2700904,Summer,27.540512222222223,66.58749555555556,478.87170000000003,90,74,12,74,2010,Episódico
35,2700904,Winter,22.918225000000003,77.2817347826087,695.5411,92,92,16,92,2010,Episódico
36,2701001,Autumn,24.451168478260872,84.67134999999999,2130.2120999999997,92,92,61,92,2010,Episódico/Epidêmico
37,2701001,Spring,24.98071888888889,76.78849888888888,598.7912,90,90,14,90,2010,Episódico/Epidêmico
38,2701001,Summer,25.937143333333335,76.58268,739.3694,90,90,23,90,2010,Episódico/Epidêmico
39,2701001,Winter,22.457403260869565,82.83653695652174,1883.398,92,92,50,92,2010,Episódico/Epidêmico
40,2701100,Autumn,23.738434782608696,85.97947500000001,2186.259,92,92,58,92,2010,Episódico/Epidêmico
41,2701100,Spring,24.242865555555554,77.99693111111111,651.2589,90,90,23,90,2010,Episódico/Epidêmico
42,2701100,Summer,25.202888888888886,77.91937888888889,690.3927,90,90,19,90,2010,Episódico/Epidêmico
43,2701100,Winter,21.6651652173913,85.07735326086957,2169.6687,92,92,57,92,2010,Episódico/Epidêmico
44,2701209,Autumn,24.409102173913045,80.01609239130434,1338.904,92,90,30,90,2010,Episódico/Epidêmico
45,2701209,Spring,25.639095555555553,68.35122,362.0457,90,84,8,84,2010,Episódico/Epidêmico
46,2701209,Summer,26.67161888888889,67.55441777777779,387.9063,90,77,13,77,2010,Episódico/Epidêmico
47,2701209,Winter,21.978158695652176,80.69426086956523,906.4054,92,92,32,92,2010,Episódico/Epidêmico
48,2701308,Autumn,23.88825326086957,85.21327934782609,1953.3058,92,92,58,92,2010,Episódico/Epidêmico
49,2701308,Spring,24.38263333333333,77.44930222222223,669.9893,90,90,21,90,2010,Episódico/Epidêmico
50,2701308,Summer,25.403372222222224,76.80319222222222,604.3987,90,90,21,90,2010,Episódico/Epidêmico
51,2701308,Winter,21.804908695652173,84.21305,1949.7172,92,92,58,92,2010,Episódico/Epidêmico
52,2701357,Autumn,24.445751086956523,85.1099902173913,2344.1933,92,92,60,92,2010,Episódico/Epidêmico
53,2701357,Spring,24.93725222222222,76.53521333333333,680.1843,90,90,23,90,2010,Episódico/Epidêmico
54,2701357,Summer,25.740724444444442,77.99307777777778,882.0497,90,90,35,90,2010,Episódico/Epidêmico
55,2701357,Winter,22.587441304347827,83.21308586956522,2267.7464,92,92,60,92,2010,Episódico/Epidêmico
56,2701407,Autumn,24.526809782608694,84.22416304347826,2104.8824,92,92,59,92,2010,Episódico/Epidêmico
