,geocode,season,temp_med,umid_med,precip_tot,thr_temp,thr_umid,thr_prec,thr_temp_umid,year,dengue_pattern
0,2700102,Autumn,24.936441304347824,71.55939239130434,528.575,92,88,12,88,2017,Episódico/Epidêmico
1,2700102,Spring,26.661764444444444,59.08858333333333,104.5703,90,41,1,41,2017,Episódico/Epidêmico
2,2700102,Summer,27.669136666666667,60.28259333333333,390.1183,90,42,11,42,2017,Episódico/Epidêmico
3,2700102,Winter,23.509128260869566,67.16486956521739,217.3068,92,86,2,86,2017,Episódico/Epidêmico
4,2700201,Autumn,24.229479347826086,83.25485652173913,1000.2414,92,92,43,92,2017,Episódico/Epidêmico
5,2700201,Spring,24.833373333333334,76.20534666666667,453.4748,90,90,12,90,2017,Episódico/Epidêmico
6,2700201,Summer,25.93298111111111,76.51755888888889,682.628,90,90,23,90,2017,Episódico/Epidêmico
7,2700201,Winter,22.772357608695653,79.19018913043479,687.1151,92,92,25,92,2017,Episódico/Epidêmico
8,2700300,Autumn,24.474522826086957,79.96950000000001,831.6521,92,92,31,92,2017,Epidêmico
9,2700300,Spring,25.41867,71.13876333333333,263.5369,90,89,1,89,2017,Epidêmico
10,2700300,Summer,26.548275555555556,71.34990888888889,504.9232,90,90,17,90,2017,Epidêmico
11,2700300,Winter,23.01505217391304,75.87588043478262,506.3627,92,92,13,92,2017,Epidêmico
12,2700409,Autumn,24.375839130434784,84.38580543478261,1349.5472,92,92,55,92,2017,Episódico
13,2700409,Spring,24.86941333333333,77.90103444444445,575.5241,90,90,24,90,2017,Episódico
14,2700409,Summer,25.926352222222224,78.38807222222222,809.8547,90,90,34,90,2017,Episódico
15,2700409,Winter,22.92393260869565,80.54248913043477,919.6768,92,92,40,92,2017,Episódico
16,2700508,Autumn,25.277179347826088,82.47154021739131,1969.2968,92,92,65,92,2017,Episódico
17,2700508,Spring,25.372654444444443,78.06843555555555,750.7778,90,90,33,90,2017,Episódico
18,2700508,Summer,26.207987777777777,79.77785555555555,1200.9554,90,90,41,90,2017,Episódico
19,2700508,Winter,24.11117391304348,76.91500760869565,1204.0942,92,92,48,92,2017,Episódico
20,2700607,Autumn,25.268793478260868,81.91896413043479,1593.5432,92,92,62,92,2017,Episódico/Epidêmico
21,2700607,Spring,25.52419666666667,76.68630222222222,606.9209,90,90,22,90,2017,Episódico/Epidêmico
22,2700607,Summer,26.40066555555556,78.41814333333333,1052.7371,90,90,38,90,2017,Episódico/Epidêmico
23,2700607,Winter,24.048502173913043,76.28595108695652,924.4065,92,92,31,92,2017,Episódico/Epidêmico
24,2700706,Autumn,25.37983043478261,75.15730978260869,594.342,92,92,18,92,2017,Episódico
25,2700706,Spring,26.68802555555556,64.76375777777777,161.9016,90,71,1,71,2017,Episódico
26,2700706,Summer,27.763642222222224,65.48658999999999,344.3088,90,72,7,72,2017,Episódico
27,2700706,Winter,23.997707608695652,70.76763260869565,286.1987,92,92,2,92,2017,Episódico
28,2700805,Autumn,23.899082608695654,82.652475,930.1065,92,92,42,92,2017,Episódico
29,2700805,Spring,24.701595555555553,74.29094666666667,341.9726,90,90,5,90,2017,Episódico
30,2700805,Summer,25.857664444444445,74.20061333333334,527.3773,90,90,19,90,2017,Episódico
31,2700805,Winter,22.363750000000003,79.17370434782609,658.9714,92,92,20,92,2017,Episódico
32,2700904,Autumn,25.69984891304348,74.10432391304349,563.5815,92,92,13,92,2017,Episódico
33,2700904,Spring,26.96790111111111,64.32181,164.9867,90,70,1,70,2017,Episódico
34,2700904,Summer,28.10991111111111,64.63408555555556,341.8831,90,66,8,66,2017,Episódico
35,2700904,Winter,24.313842391304348,69.79070978260869,251.4664,92,92,1,92,2017,Episódico
36,2701001,Autumn,24.485230434782608,83.62447826086957,1216.898,92,92,53,92,2017,Episódico
37,2701001,Spring,25.001825555555556,77.04394888888889,523.0793,90,90,19,90,2017,Episódico
38,2701001,Summer,26.022984444444447,77.82331333333333,832.9077,90,90,31,90,2017,Episódico
39,2701001,Winter,23.087089130434784,79.25322065217391,785.3968,92,92,27,92,2017,Episódico
40,2701100,Autumn,23.64041195652174,85.80145217391303,1353.4932,92,92,58,92,2017,Episódico/Epidêmico
41,2701100,Spring,24.19926,78.88871222222222,608.7792,90,90,24,90,2017,Episódico/Epidêmico
42,2701100,Summer,25.33884666666667,78.84643444444444,769.5377,90,90,30,90,2017,Episódico/Epidêmico
43,2701100,Winter,22.10206413043478,82.64208043478261,947.1278,92,92,42,92,2017,Episódico/Epidêmico
44,2701209,Autumn,24.72055760869565,76.81426086956522,608.4283,92,92,19,92,2017,Episódico/Epidêmico
45,2701209,Spring,26.153377777777777,65.15242444444445,143.6794,90,72,0,72,2017,Episódico/Epidêmico
46,2701209,Summer,27.198774444444446,65.93155,303.2325,90,74,9,74,2017,Episódico/Epidêmico
47,2701209,Winter,23.30573804347826,72.7097097826087,338.4574,92,92,5,92,2017,Episódico/Epidêmico
