muni_code;dengue_pattern
1100015;Episódico/Epidêmico
1100023;Epidêmico
1100031;Episódico/Epidêmico
1100049;Epidêmico
1100056;Epidêmico
1100064;Epidêmico
1100072;Episódico/Epidêmico
1100080;Episódico/Epidêmico
1100098;Epidêmico
1100106;Episódico/Epidêmico
1100114;Episódico/Epidêmico
1100122;Epidêmico
1100130;Epidêmico
1100148;Epidêmico
1100155;Episódico/Epidêmico
1100189;Epidêmico
1100205;Epidêmico
1100254;Episódico/Epidêmico
1100262;Episódico/Epidêmico
1100288;Episódico/Epidêmico
1100296;Episódico/Epidêmico
1100304;Epidêmico
1100320;Episódico/Epidêmico
1100338;Episódico/Epidêmico
1100346;Episódico/Epidêmico
1100379;Episódico/Epidêmico
1100403;Episódico/Epidêmico
1100452;Epidêmico
1100502;Episódico/Epidêmico
1100601;Episódico/Epidêmico
1100700;Episódico/Epidêmico
1100809;Episódico/Epidêmico
1100908;Episódico
1100924;Episódico/Epidêmico
1100940;Episódico/Epidêmico
1101005;Episódico/Epidêmico
1101104;Episódico/Epidêmico
1101203;Episódico/Epidêmico
1101302;Episódico/Epidêmico
1101401;Episódico/Epidêmico
1101435;Episódico/Epidêmico
1101450;Episódico/Epidêmico
1101468;Episódico
1101476;Episódico/Epidêmico
1101484;Episódico/Epidêmico
1101492;Epidêmico
1101500;Episódico/Epidêmico
1101559;Episódico
1101609;Episódico/Epidêmico
1101708;Episódico/Epidêmico
1101757;Episódico
1101807;Episódico/Epidêmico
1200013;Episódico/Epidêmico
1200054;Episódico/Epidêmico
1200104;Epidêmico
1200138;Episódico
1200179;Episódico/Epidêmico
1200203;Epidêmico
1200252;Episódico/Epidêmico
1200302;Episódico
1200328;Episódico
1200336;Episódico
1200344;Episódico
1200351;Episódico
1200385;Episódico/Epidêmico
1200393;Episódico
1200401;Epidêmico
1200427;Episódico/Epidêmico
1200435;Episódico
1200450;Episódico/Epidêmico
1200500;Episódico/Epidêmico
1200609;Episódico
1200708;Epidêmico
1200807;Episódico
1300029;Episódico
1300060;Episódico
1300086;Episódico
1300102;Episódico/Epidêmico
1300144;Episódico/Epidêmico
1300201;Episódico
1300300;Episódico
1300409;Episódico/Epidêmico
1300508;Episódico
1300607;Episódico
1300631;Episódico
1300680;Episódico
1300706;Episódico/Epidêmico
1300805;Epidêmico
1300839;Episódico
1300904;Episódico
1301001;Episódico
1301100;Episódico/Epidêmico
1301159;Episódico
1301209;Epidêmico
1301308;Episódico
1301407;Episódico
1301506;Episódico
1301605;Episódico
1301654;Episódico/Epidêmico
1301704;Epidêmico
1301803;Episódico
1301852;Episódico/Epidêmico
1301902;Epidêmico
1301951;Episódico
1302009;Episódico
1302108;Episódico/Epidêmico
1302207;Episódico
1302306;Episódico
1302405;Episódico/Epidêmico
1302504;Epidêmico
1302553;Episódico
1302603;Transmissão Persistente
1302702;Episódico
1302801;Episódico
1302900;Episódico/Epidêmico
1303007;Episódico
1303106;Episódico/Epidêmico
1303205;Episódico/Epidêmico
1303304;Episódico/Epidêmico
1303403;Episódico/Epidêmico
1303502;Episódico
1303536;Episódico/Epidêmico
1303569;Episódico
1303601;Sem transmissão
1303700;Episódico
1303809;Epidêmico
1303908;Episódico
1303957;Sem transmissão
1304005;Episódico
1304062;Epidêmico
1304104;Episódico/Epidêmico
1304203;Epidêmico
1304237;Sem transmissão
1304260;Episódico
1304302;Episódico
1304401;Episódico
1400027;Episódico/Epidêmico
1400050;Episódico/Epidêmico
1400100;Epidêmico
1400159;Episódico/Epidêmico
1400175;Episódico/Epidêmico
1400209;Epidêmico
1400233;Episódico/Epidêmico
1400282;Episódico/Epidêmico
1400308;Epidêmico
1400407;Episódico/Epidêmico
1400456;Episódico/Epidêmico
1400472;Epidêmico
1400506;Episódico/Epidêmico
1400605;Episódico/Epidêmico
1400704;Episódico
1500107;Epidêmico
1500131;Episódico/Epidêmico
1500206;Episódico/Epidêmico
1500305;Episódico
1500347;Episódico/Epidêmico
1500404;Episódico/Epidêmico
1500503;Episódico
1500602;Epidêmico
1500701;Episódico
1500800;Epidêmico
1500859;Episódico/Epidêmico
1500909;Episódico/Epidêmico
1500958;Episódico/Epidêmico
1501006;Episódico
1501105;Episódico
1501204;Episódico/Epidêmico
1501253;Episódico/Epidêmico
1501303;Epidêmico
1501402;Epidêmico
1501451;Episódico/Epidêmico
1501501;Epidêmico
1501576;Episódico
1501600;Episódico
1501709;Epidêmico
1501725;Episódico/Epidêmico
1501758;Episódico/Epidêmico
1501782;Episódico/Epidêmico
1501808;Episódico/Epidêmico
1501907;Episódico
1501956;Episódico/Epidêmico
1502004;Sem transmissão
1502103;Epidêmico
1502152;Episódico/Epidêmico
1502202;Episódico/Epidêmico
1502301;Episódico/Epidêmico
1502400;Epidêmico
1502509;Sem transmissão
1502608;Episódico
1502707;Epidêmico
1502756;Episódico
1502764;Episódico/Epidêmico
1502772;Episódico/Epidêmico
1502806;Sem transmissão
1502855;Episódico
1502905;Episódico/Epidêmico
1502939;Episódico/Epidêmico
1502954;Episódico/Epidêmico
1503002;Sem transmissão
1503044;Episódico
1503077;Episódico/Epidêmico
1503093;Episódico/Epidêmico
1503101;Episódico
