muni_code;dengue_pattern_2010_2016;dengue_pattern_2017_2022;transition
1100015;Episódico/Epidêmico;Epidêmico;Piorou
1100023;Epidêmico;Epidêmico;Se manteve
1100031;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1100049;Epidêmico;Epidêmico;Se manteve
1100056;Epidêmico;Episódico/Epidêmico;Melhorou
1100064;Epidêmico;Episódico/Epidêmico;Melhorou
1100072;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1100080;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1100098;Epidêmico;Episódico/Epidêmico;Melhorou
1100106;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1100114;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1100122;Epidêmico;Epidêmico;Se manteve
1100130;Epidêmico;Episódico/Epidêmico;Melhorou
1100148;Epidêmico;Episódico/Epidêmico;Melhorou
1100155;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1100189;Epidêmico;Epidêmico;Se manteve
1100205;Epidêmico;Epidêmico;Se manteve
1100254;Episódico/Epidêmico;Epidêmico;Piorou
1100262;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1100288;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1100296;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1100304;Epidêmico;Epidêmico;Se manteve
1100320;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1100338;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1100346;Episódico/Epidêmico;Episódico;Melhorou
1100379;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1100403;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1100452;Epidêmico;Epidêmico;Se manteve
1100502;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1100601;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1100700;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1100809;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1100908;Episódico;Episódico;Se manteve
1100924;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1100940;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
