muni_code;muni_name;uf_code;uf_acr;tipo_regiao;bioma;altitude;koppen;pop22;prop_esgot;prop_abast;prop_residuo
1100015;Alta Floresta D'oeste;11;RO;n„o metropolitana;amazonia;246,08;Am;21558;2,24;93,68;56,86
1100023;Ariquemes;11;RO;n„o metropolitana;amazonia;165,9;Am;100896;8,91;98,57;85,14
1100031;Cabixi;11;RO;n„o metropolitana;amazonia;224,18;Am;5107;21,01;95,49;49,77
1100049;Cacoal;11;RO;metropolitana;amazonia;229,95;Am;92202;54,03;98,16;78,94
1100056;Cerejeiras;11;RO;n„o metropolitana;amazonia;192,22;Am;15237;16,73;98,62;78,35
1100064;Colorado Do Oeste;11;RO;n„o metropolitana;amazonia;359,62;Am;15747;5,17;95,54;69,11
1100072;Corumbiara;11;RO;n„o metropolitana;amazonia;266,89;Am;7503;11,55;93,4;37,83
1100080;Costa Marques;11;RO;n„o metropolitana;amazonia;190,01;Am;12633;7,91;96,38;55,74
1100098;Espig√£o D'oeste;11;RO;n„o metropolitana;amazonia;296,94;Am;29722;13,77;94,23;66,43
1100106;Guajar√°-Mirim;11;RO;n„o metropolitana;amazonia;197,96;Am;39396;22,19;93,34;79,55
1100114;Jaru;11;RO;n„o metropolitana;amazonia;209,76;Am;52090;3,36;97,09;71,63
1100122;Ji-Paran√°;11;RO;metropolitana;amazonia;193,68;Am;136825;20,43;97,82;86,94
1100130;Machadinho D'oeste;11;RO;n„o metropolitana;amazonia;136,83;Am;30626;2,12;94,67;50,74
1100148;Nova Brasil√¢ndia D'oeste;11;RO;n„o metropolitana;amazonia;249,3;Am;17355;3,84;94,07;42,43
1100155;Ouro Preto Do Oeste;11;RO;n„o metropolitana;amazonia;220,01;Am;36753;10,17;97,8;75,12
1100189;Pimenta Bueno;11;RO;n„o metropolitana;amazonia;286,28;Am;37464;38,34;97,21;85,35
1100205;Porto Velho;11;RO;metropolitana;amazonia;120,26;Am;461748;43,41;92,92;89,54
1100254;Presidente M√©dici;11;RO;n„o metropolitana;amazonia;210,79;Am;19316;1,64;94,6;56,8
1100262;Rio Crespo;11;RO;n„o metropolitana;amazonia;153,27;Am;3476;22,57;97,99;34,3
1100288;Rolim De Moura;11;RO;n„o metropolitana;amazonia;242,23;Am;57180;14,98;97,4;82,94
1100296;Santa Luzia D'oeste;11;RO;n„o metropolitana;amazonia;341,63;Am;7394;1,97;93,08;41,8
1100304;Vilhena;11;RO;n„o metropolitana;amazonia;409,37;Am;95599;13,51;98,15;93,6
1100320;S√£o Miguel Do Guapor√©;11;RO;n„o metropolitana;amazonia;236,82;Am;21612;9,98;97,43;45,48
1100338;Nova Mamor√©;11;RO;n„o metropolitana;amazonia;205,24;Am;25452;7,88;94,91;47,01
1100346;Alvorada D'oeste;11;RO;n„o metropolitana;amazonia;248,65;Am;13092;35,84;94,67;51,11
1100379;Alto Alegre Dos Parecis;11;RO;n„o metropolitana;amazonia;255,49;Am;13023;0,54;93,58;37,36
1100403;Alto Para√≠so;11;RO;n„o metropolitana;amazonia;134,69;Am;17140;10,83;95,28;42,52
1100452;Buritis;11;RO;n„o metropolitana;amazonia;170,1;Am;28178;1,82;90,12;64,54
1100502;Novo Horizonte Do Oeste;11;RO;n„o metropolitana;amazonia;252,89;Am;7653;9,45;92,65;33,79
1100601;Cacaul√¢ndia;11;RO;n„o metropolitana;amazonia;191,55;Am;4157;21,81;93,68;35,7
1100700;Campo Novo De Rond√¥nia;11;RO;n„o metropolitana;amazonia;248,65;Am;8840;19,87;91,75;27,08
1100809;Candeias Do Jamari;11;RO;n„o metropolitana;amazonia;103,22;Am;22564;9,02;95,9;55,51
1100908;Castanheiras;11;RO;n„o metropolitana;amazonia;201,43;Am;3269;1,44;95,21;25,63
1100924;Chupinguaia;11;RO;n„o metropolitana;amazonia;329,97;Am;9351;2,69;85,16;58,97
1100940;Cujubim;11;RO;n„o metropolitana;amazonia;128,98;Am;14338;7,37;94,27;60,25
1101005;Governador Jorge Teixeira;11;RO;n„o metropolitana;amazonia;279,41;Am;8012;30,96;95,18;27,44
1101104;Itapu√£ Do Oeste;11;RO;n„o metropolitana;amazonia;115,7;Am;9465;3,2;94,44;56,18
1101203;Ministro Andreazza;11;RO;n„o metropolitana;amazonia;304,56;Am;6440;4,55;92,13;38,29
1101302;Mirante Da Serra;11;RO;n„o metropolitana;amazonia;271,69;Am;9200;1,34;96,64;48,62
1101401;Monte Negro;11;RO;n„o metropolitana;amazonia;201,29;Am;11966;1,3;98,33;46,67
1101435;Nova Uni√£o;11;RO;n„o metropolitana;amazonia;276,91;Am;6194;1,1;90,86;23,38
1101450;Parecis;11;RO;n„o metropolitana;amazonia;329,49;Am;3953;0,65;87,25;38,44
1101468;Pimenteiras Do Oeste;11;RO;n„o metropolitana;amazonia;186,31;Am;2180;18,71;97,57;50,43
1101476;Primavera De Rond√¥nia;11;RO;n„o metropolitana;amazonia;233,73;Am;3071;1,94;96,29;44,11
1101484;S√£o Felipe D'oeste;11;RO;n„o metropolitana;amazonia;251,28;Am;5259;16,02;92,1;33,15
1101492;S√£o Francisco Do Guapor√©;11;RO;n„o metropolitana;amazonia;173,21;Am;16302;3,85;96,28;47,04
1101500;Seringueiras;11;RO;n„o metropolitana;amazonia;211,42;Am;11183;19,63;97,53;39,47
1101559;Teixeir√≥polis;11;RO;n„o metropolitana;amazonia;219,42;Am;4284;2,04;95,05;34,51
1101609;Theobroma;11;RO;n„o metropolitana;amazonia;178,32;Am;9253;11,02;96,15;24,29
1101708;Urup√°;11;RO;n„o metropolitana;amazonia;223,46;Am;10828;11,53;93,24;39,05
1101757;Vale Do Anari;11;RO;n„o metropolitana;amazonia;159,34;Am;7806;0,68;94,15;33,64
1101807;Vale Do Para√≠so;11;RO;n„o metropolitana;amazonia;182,73;Am;6487;0,29;96,71;33,59
1200013;Acrel√¢ndia;12;AC;n„o metropolitana;amazonia;165,47;Am;12707;11,7;93,87;48,83
1200054;Assis Brasil;12;AC;n„o metropolitana;amazonia;305,21;Af;8157;24,82;81,68;61,4
1200104;Brasil√©ia;12;AC;n„o metropolitana;amazonia;273,61;Af;25786;29,63;91,66;67,91
1200138;Bujari;12;AC;n„o metropolitana;amazonia;189,97;Am;11962;19,35;81,89;47
1200179;Capixaba;12;AC;n„o metropolitana;amazonia;197,4;Am;9737;34;86,57;44,24
