"code_muni";"munname";"prop_abast"
"110001";"ALTA FLORESTA D'OESTE";93,68
"110002";"ARIQUEMES";98,57
"110003";"CABIXI";95,49
"110004";"CACOAL";98,16
"110005";"CEREJEIRAS";98,62
"110006";"COLORADO DO OESTE";95,54
"110007";"CORUMBIARA";93,4
"110008";"COSTA MARQUES";96,38
"110009";"ESPIGAO D'OESTE";94,23
"110010";"GUAJARA-MIRIM";93,34
"110011";"JARU";97,09
"110012";"JI-PARANA";97,82
"110013";"MACHADINHO D'OESTE";94,67
"110014";"NOVA BRASILANDIA D'OESTE";94,07
"110015";"OURO PRETO DO OESTE";97,8
"110018";"PIMENTA BUENO";97,21
"110020";"PORTO VELHO";92,92
"110025";"PRESIDENTE MEDICI";94,6
"110026";"RIO CRESPO";97,99
"110028";"ROLIM DE MOURA";97,4
"110029";"SANTA LUZIA D'OESTE";93,08
"110030";"VILHENA";98,15
"110032";"SAO MIGUEL DO GUAPORE";97,43
"110033";"NOVA MAMORE";94,91
"110034";"ALVORADA D'OESTE";94,67
"110037";"ALTO ALEGRE DOS PARECIS";93,58
"110040";"ALTO PARAISO";95,28
"110045";"BURITIS";90,12
"110050";"NOVO HORIZONTE DO OESTE";92,65
"110060";"CACAULANDIA";93,68
"110070";"CAMPO NOVO DE RONDONIA";91,75
"110080";"CANDEIAS DO JAMARI";95,9
"110090";"CASTANHEIRAS";95,21
"110092";"CHUPINGUAIA";85,16
"110094";"CUJUBIM";94,27
"110100";"GOVERNADOR JORGE TEIXEIRA";95,18
"110110";"ITAPUA DO OESTE";94,44
"110120";"MINISTRO ANDREAZZA";92,13
"110130";"MIRANTE DA SERRA";96,64
"110140";"MONTE NEGRO";98,33
"110143";"NOVA UNIAO";90,86
"110145";"PARECIS";87,25
"110146";"PIMENTEIRAS DO OESTE";97,57
"110147";"PRIMAVERA DE RONDONIA";96,29
"110148";"SAO FELIPE D'OESTE";92,1
"110149";"SAO FRANCISCO DO GUAPORE";96,28
"110150";"SERINGUEIRAS";97,53
"110155";"TEIXEIROPOLIS";95,05
"110160";"THEOBROMA";96,15
"110170";"URUPA";93,24
"110175";"VALE DO ANARI";94,15
"110180";"VALE DO PARAISO";96,71
"120001";"ACRELANDIA";93,87
"120005";"ASSIS BRASIL";81,68
"120010";"BRASILEIA";91,66
"120013";"BUJARI";81,89
"120017";"CAPIXABA";86,57
"120020";"CRUZEIRO DO SUL";79,14
"120025";"EPITACIOLANDIA";89,66
"120030";"FEIJO";69,53
"120032";"JORDAO";46,28
"120033";"MANCIO LIMA";80,26
"120034";"MANOEL URBANO";80,41
"120035";"MARECHAL THAUMATURGO";50,77
"120038";"PLACIDO DE CASTRO";91,46
"120039";"PORTO WALTER";44,36
"120040";"RIO BRANCO";94,1
"120042";"RODRIGUES ALVES";71,48
"120043";"SANTA ROSA DO PURUS";66,29
"120045";"SENADOR GUIOMARD";92,4
"120050";"SENA MADUREIRA";82,57
"120060";"TARAUACA";60,4
"120070";"XAPURI";86,75
"120080";"PORTO ACRE";84,46
"130002";"ALVARAES";48,93
"130006";"AMATURA";66,64
"130008";"ANAMA";58,47
"130010";"ANORI";66,86
"130014";"APUI";86,82
"130020";"ATALAIA DO NORTE";36,29
"130030";"AUTAZES";57,01
"130040";"BARCELOS";50,28
"130050";"BARREIRINHA";55,14
"130060";"BENJAMIN CONSTANT";53,48
"130063";"BERURI";54,61
"130068";"BOA VISTA DO RAMOS";58,8
"130070";"BOCA DO ACRE";69,39
"130080";"BORBA";54,66
"130083";"CAAPIRANGA";29,69
"130090";"CANUTAMA";73,78
"130100";"CARAUARI";64,62
"130110";"CAREIRO";57,11
"130115";"CAREIRO DA VARZEA";14,95
"130120";"COARI";32,3
"130130";"CODAJAS";63,71
"130140";"EIRUNEPE";52,28
"130150";"ENVIRA";44,82
"130160";"FONTE BOA";67,65
"130165";"GUAJARA";62,11
"130170";"HUMAITA";78,16
"130180";"IPIXUNA";41,52
"130185";"IRANDUBA";70,95
"130190";"ITACOATIARA";78,88
"130195";"ITAMARATI";52,1
"130200";"ITAPIRANGA";82,83
"130210";"JAPURA";48,07
"130220";"JURUA";47,97
"130230";"JUTAI";63,73
"130240";"LABREA";48,21
"130250";"MANACAPURU";70,32
"130255";"MANAQUIRI";41,08
"130260";"MANAUS";89,78
"130270";"MANICORE";61,75
"130280";"MARAA";49,73
"130290";"MAUES";53,86
"130300";"NHAMUNDA";47,52
"130310";"NOVA OLINDA DO NORTE";55,94
"130320";"NOVO AIRAO";65,45
"130330";"NOVO ARIPUANA";62,63
"130340";"PARINTINS";73,24
"130350";"PAUINI";49,56
"130353";"PRESIDENTE FIGUEIREDO";83,42
"130356";"RIO PRETO DA EVA";79,17
"130360";"SANTA ISABEL DO RIO NEGRO";45,24
