muni_code;muni_name;uf_code;uf_acr;tipo_regiao;bioma;altitude;koppen;pop22
1100015;Alta Floresta D'oeste;11;RO;n„o metropolitana;amazonia;246,08;Am;21558
1100023;Ariquemes;11;RO;n„o metropolitana;amazonia;165,9;Am;100896
1100031;Cabixi;11;RO;n„o metropolitana;amazonia;224,18;Am;5107
1100049;Cacoal;11;RO;metropolitana;amazonia;229,95;Am;92202
1100056;Cerejeiras;11;RO;n„o metropolitana;amazonia;192,22;Am;15237
1100064;Colorado Do Oeste;11;RO;n„o metropolitana;amazonia;359,62;Am;15747
1100072;Corumbiara;11;RO;n„o metropolitana;amazonia;266,89;Am;7503
1100080;Costa Marques;11;RO;n„o metropolitana;amazonia;190,01;Am;12633
1100098;Espig√£o D'oeste;11;RO;n„o metropolitana;amazonia;296,94;Am;29722
1100106;Guajar√°-Mirim;11;RO;n„o metropolitana;amazonia;197,96;Am;39396
1100114;Jaru;11;RO;n„o metropolitana;amazonia;209,76;Am;52090
1100122;Ji-Paran√°;11;RO;metropolitana;amazonia;193,68;Am;136825
1100130;Machadinho D'oeste;11;RO;n„o metropolitana;amazonia;136,83;Am;30626
1100148;Nova Brasil√¢ndia D'oeste;11;RO;n„o metropolitana;amazonia;249,3;Am;17355
1100155;Ouro Preto Do Oeste;11;RO;n„o metropolitana;amazonia;220,01;Am;36753
1100189;Pimenta Bueno;11;RO;n„o metropolitana;amazonia;286,28;Am;37464
1100205;Porto Velho;11;RO;metropolitana;amazonia;120,26;Am;461748
1100254;Presidente M√©dici;11;RO;n„o metropolitana;amazonia;210,79;Am;19316
1100262;Rio Crespo;11;RO;n„o metropolitana;amazonia;153,27;Am;3476
1100288;Rolim De Moura;11;RO;n„o metropolitana;amazonia;242,23;Am;57180
1100296;Santa Luzia D'oeste;11;RO;n„o metropolitana;amazonia;341,63;Am;7394
1100304;Vilhena;11;RO;n„o metropolitana;amazonia;409,37;Am;95599
1100320;S√£o Miguel Do Guapor√©;11;RO;n„o metropolitana;amazonia;236,82;Am;21612
1100338;Nova Mamor√©;11;RO;n„o metropolitana;amazonia;205,24;Am;25452
1100346;Alvorada D'oeste;11;RO;n„o metropolitana;amazonia;248,65;Am;13092
1100379;Alto Alegre Dos Parecis;11;RO;n„o metropolitana;amazonia;255,49;Am;13023
1100403;Alto Para√≠so;11;RO;n„o metropolitana;amazonia;134,69;Am;17140
1100452;Buritis;11;RO;n„o metropolitana;amazonia;170,1;Am;28178
1100502;Novo Horizonte Do Oeste;11;RO;n„o metropolitana;amazonia;252,89;Am;7653
1100601;Cacaul√¢ndia;11;RO;n„o metropolitana;amazonia;191,55;Am;4157
1100700;Campo Novo De Rond√¥nia;11;RO;n„o metropolitana;amazonia;248,65;Am;8840
1100809;Candeias Do Jamari;11;RO;n„o metropolitana;amazonia;103,22;Am;22564
1100908;Castanheiras;11;RO;n„o metropolitana;amazonia;201,43;Am;3269
1100924;Chupinguaia;11;RO;n„o metropolitana;amazonia;329,97;Am;9351
1100940;Cujubim;11;RO;n„o metropolitana;amazonia;128,98;Am;14338
1101005;Governador Jorge Teixeira;11;RO;n„o metropolitana;amazonia;279,41;Am;8012
1101104;Itapu√£ Do Oeste;11;RO;n„o metropolitana;amazonia;115,7;Am;9465
1101203;Ministro Andreazza;11;RO;n„o metropolitana;amazonia;304,56;Am;6440
1101302;Mirante Da Serra;11;RO;n„o metropolitana;amazonia;271,69;Am;9200
1101401;Monte Negro;11;RO;n„o metropolitana;amazonia;201,29;Am;11966
1101435;Nova Uni√£o;11;RO;n„o metropolitana;amazonia;276,91;Am;6194
1101450;Parecis;11;RO;n„o metropolitana;amazonia;329,49;Am;3953
1101468;Pimenteiras Do Oeste;11;RO;n„o metropolitana;amazonia;186,31;Am;2180
1101476;Primavera De Rond√¥nia;11;RO;n„o metropolitana;amazonia;233,73;Am;3071
1101484;S√£o Felipe D'oeste;11;RO;n„o metropolitana;amazonia;251,28;Am;5259
1101492;S√£o Francisco Do Guapor√©;11;RO;n„o metropolitana;amazonia;173,21;Am;16302
1101500;Seringueiras;11;RO;n„o metropolitana;amazonia;211,42;Am;11183
1101559;Teixeir√≥polis;11;RO;n„o metropolitana;amazonia;219,42;Am;4284
1101609;Theobroma;11;RO;n„o metropolitana;amazonia;178,32;Am;9253
1101708;Urup√°;11;RO;n„o metropolitana;amazonia;223,46;Am;10828
1101757;Vale Do Anari;11;RO;n„o metropolitana;amazonia;159,34;Am;7806
1101807;Vale Do Para√≠so;11;RO;n„o metropolitana;amazonia;182,73;Am;6487
1200013;Acrel√¢ndia;12;AC;n„o metropolitana;amazonia;165,47;Am;12707
1200054;Assis Brasil;12;AC;n„o metropolitana;amazonia;305,21;Af;8157
1200104;Brasil√©ia;12;AC;n„o metropolitana;amazonia;273,61;Af;25786
1200138;Bujari;12;AC;n„o metropolitana;amazonia;189,97;Am;11962
1200179;Capixaba;12;AC;n„o metropolitana;amazonia;197,4;Am;9737
1200203;Cruzeiro Do Sul;12;AC;n„o metropolitana;amazonia;226,06;Af;94345
1200252;Epitaciol√¢ndia;12;AC;n„o metropolitana;amazonia;243,8;Am;18697
1200302;Feij√≥;12;AC;n„o metropolitana;amazonia;251,14;Af;35035
1200328;Jord√£o;12;AC;n„o metropolitana;amazonia;330,41;Af;11105
1200336;M√¢ncio Lima;12;AC;n„o metropolitana;amazonia;257,6;Af;19172
1200344;Manoel Urbano;12;AC;n„o metropolitana;amazonia;233,58;Af;12246
1200351;Marechal Thaumaturgo;12;AC;n„o metropolitana;amazonia;282,43;Af;16825
1200385;Pl√°cido De Castro;12;AC;n„o metropolitana;amazonia;179,76;Am;16313
1200393;Porto Walter;12;AC;n„o metropolitana;amazonia;244,35;Af;10706
1200401;Rio Branco;12;AC;metropolitana;amazonia;209,03;Am;364368
1200427;Rodrigues Alves;12;AC;n„o metropolitana;amazonia;250,56;Af;16072
1200435;Santa Rosa Do Purus;12;AC;n„o metropolitana;amazonia;251,66;Af;7672
1200450;Senador Guiomard;12;AC;n„o metropolitana;amazonia;177,03;Am;21658
1200500;Sena Madureira;12;AC;n„o metropolitana;amazonia;231,54;Am;39746
1200609;Tarauac√°;12;AC;n„o metropolitana;amazonia;252,67;Af;43072
1200708;Xapuri;12;AC;n„o metropolitana;amazonia;227,59;Am;18181
1200807;Porto Acre;12;AC;n„o metropolitana;amazonia;172,78;Am;16218
1300029;Alvar√£es;13;AM;n„o metropolitana;amazonia;78,54;Af;15916
1300060;Amatur√°;13;AM;n„o metropolitana;amazonia;83,74;Af;10814
1300086;Anam√£;13;AM;n„o metropolitana;amazonia;40,78;Af;9927
1300102;Anori;13;AM;n„o metropolitana;amazonia;35,18;Af;17052
1300144;Apu√≠;13;AM;n„o metropolitana;amazonia;154,7;Am;21403
1300201;Atalaia Do Norte;13;AM;n„o metropolitana;amazonia;157,3;Af;15440
1300300;Autazes;13;AM;metropolitana;amazonia;30,93;Af;41672
1300409;Barcelos;13;AM;n„o metropolitana;amazonia;91,99;Af;18399
1300508;Barreirinha;13;AM;n„o metropolitana;amazonia;35,36;Af;30990
1300607;Benjamin Constant;13;AM;n„o metropolitana;amazonia;139,73;Af;37436
1300631;Beruri;13;AM;n„o metropolitana;amazonia;47,19;Af;20807
