code_muni;Rede geral de esgoto ou pluvial;Fossa séptica
110001 ALTA FLORESTA D'OESTE;0,29;1,95
110002 ARIQUEMES;1,17;7,74
110003 CABIXI;0,1;20,91
110004 CACOAL;40,1;13,93
110005 CEREJEIRAS;0,09;16,64
110006 COLORADO DO OESTE;0,5;4,67
110007 CORUMBIARA;0,19;11,36
110008 COSTA MARQUES;0,14;7,77
110009 ESPIGAO D'OESTE;0,38;13,39
110010 GUAJARA-MIRIM;8,36;13,83
110011 JARU;0,87;2,49
110012 JI-PARANA;3,55;16,88
110013 MACHADINHO D'OESTE;0,13;1,99
110014 NOVA BRASILANDIA D'OESTE;0,12;3,72
110015 OURO PRETO DO OESTE;1,06;9,11
110018 PIMENTA BUENO;8,01;30,33
110020 PORTO VELHO;10,08;33,33
110025 PRESIDENTE MEDICI;0,76;0,88
110026 RIO CRESPO;0;22,57
110028 ROLIM DE MOURA;0,66;14,32
110029 SANTA LUZIA D'OESTE;1,06;0,91
110030 VILHENA;1,2;12,31
110032 SAO MIGUEL DO GUAPORE;0,25;9,73
110033 NOVA MAMORE;0,06;7,82
110034 ALVORADA D'OESTE;29,63;6,21
110037 ALTO ALEGRE DOS PARECIS;0,16;0,38
110040 ALTO PARAISO;0,18;10,65
110045 BURITIS;0,06;1,76
110050 NOVO HORIZONTE DO OESTE;3,55;5,9
110060 CACAULANDIA;0,12;21,69
110070 CAMPO NOVO DE RONDONIA;0,16;19,71
110080 CANDEIAS DO JAMARI;3,78;5,24
110090 CASTANHEIRAS;0;1,44
110092 CHUPINGUAIA;0,64;2,05
110094 CUJUBIM;0,09;7,28
110100 GOVERNADOR JORGE TEIXEIRA;0,3;30,66
110110 ITAPUA DO OESTE;1,74;1,46
110120 MINISTRO ANDREAZZA;1,95;2,6
110130 MIRANTE DA SERRA;0;1,34
110140 MONTE NEGRO;0,12;1,18
110143 NOVA UNIAO;0;1,1
110145 PARECIS;0;0,65
110146 PIMENTEIRAS DO OESTE;0;18,71
110147 PRIMAVERA DE RONDONIA;0,09;1,85
110148 SAO FELIPE D'OESTE;0,44;15,58
110149 SAO FRANCISCO DO GUAPORE;0;3,85
110150 SERINGUEIRAS;0,15;19,48
110155 TEIXEIROPOLIS;0,14;1,9
110160 THEOBROMA;0,46;10,56
110170 URUPA;0,08;11,45
110175 VALE DO ANARI;0;0,68
110180 VALE DO PARAISO;0;0,29
120001 ACRELANDIA;0,43;11,27
120005 ASSIS BRASIL;1,88;22,94
120010 BRASILEIA;17,15;12,48
120013 BUJARI;0,77;18,58
120017 CAPIXABA;0,98;33,02
120020 CRUZEIRO DO SUL;4,49;9,41
120025 EPITACIOLANDIA;3,73;17,47
120030 FEIJO;2,81;7,49
120032 JORDAO;0,46;4,83
120033 MANCIO LIMA;0,22;6,53
120034 MANOEL URBANO;4,09;8,83
120035 MARECHAL THAUMATURGO;0,87;7,49
120038 PLACIDO DE CASTRO;3,96;10,67
120039 PORTO WALTER;0,06;0,65
120040 RIO BRANCO;45,29;12,68
120042 RODRIGUES ALVES;0,03;9,2
120043 SANTA ROSA DO PURUS;0,12;4,66
120045 SENADOR GUIOMARD;0,62;23,51
120050 SENA MADUREIRA;4,08;9,21
120060 TARAUACA;1,2;9,73
120070 XAPURI;17,13;12,2
120080 PORTO ACRE;0,12;11,84
130002 ALVARAES;6,93;24,43
130006 AMATURA;1,82;5,87
130008 ANAMA;3,82;0,8
130010 ANORI;1,24;0,92
130014 APUI;0,11;9,42
130020 ATALAIA DO NORTE;0,62;0,35
130030 AUTAZES;4,06;16,32
130040 BARCELOS;3,51;11,97
130050 BARREIRINHA;0,49;3,66
130060 BENJAMIN CONSTANT;2,42;12,18
130063 BERURI;3,19;24,5
130068 BOA VISTA DO RAMOS;0,69;31,3
130070 BOCA DO ACRE;4,65;1,68
130080 BORBA;1,22;7,4
130083 CAAPIRANGA;1,39;31,62
130090 CANUTAMA;9,81;0,61
130100 CARAUARI;16,51;9,2
130110 CAREIRO;3,09;11,95
130115 CAREIRO DA VARZEA;0,24;5,38
130120 COARI;35,81;5,27
130130 CODAJAS;24,77;1,32
130140 EIRUNEPE;1,68;11,59
130150 ENVIRA;1,22;6,43
130160 FONTE BOA;1,15;1,1
130165 GUAJARA;0,53;7,69
130170 HUMAITA;4,96;11,3
130180 IPIXUNA;1,13;0,38
130185 IRANDUBA;2,05;12,33
130190 ITACOATIARA;3,74;17,03
130195 ITAMARATI;3,95;1,85
130200 ITAPIRANGA;0,4;6,23
130210 JAPURA;0,79;15,81
130220 JURUA;7,93;6,17
130230 JUTAI;0,76;0,22
130240 LABREA;14,1;5,86
130250 MANACAPURU;8,13;16,49
130255 MANAQUIRI;1,62;6,3
130260 MANAUS;40,91;22,42
130270 MANICORE;1,15;7,19
130280 MARAA;9,6;13
130290 MAUES;1,96;27,23
130300 NHAMUNDA;0,58;17,02
130310 NOVA OLINDA DO NORTE;6,25;8,8
130320 NOVO AIRAO;0,82;15,61
130330 NOVO ARIPUANA;10,01;4,94
130340 PARINTINS;1,62;18,9
130350 PAUINI;5,58;20,89
130353 PRESIDENTE FIGUEIREDO;27,65;9,89
130356 RIO PRETO DA EVA;0,97;9,04
130360 SANTA ISABEL DO RIO NEGRO;1,07;7,18
130370 SANTO ANTONIO DO ICA;2,05;1,78
