muni_code;region;muni_name;uf_code;uf_acr;tipo_regiao;bioma;altitude;koppen;pop22;prop_residuo;prop_esgot
1100015;1;Alta Floresta D'oeste;11;RO;n„o metropolitana;amazonia;246,08;Am;21558;56,86;2,24
1100023;1;Ariquemes;11;RO;n„o metropolitana;amazonia;165,9;Am;100896;85,14;8,91
1100031;1;Cabixi;11;RO;n„o metropolitana;amazonia;224,18;Am;5107;49,77;21,01
1100049;1;Cacoal;11;RO;metropolitana;amazonia;229,95;Am;92202;78,94;54,03
1100056;1;Cerejeiras;11;RO;n„o metropolitana;amazonia;192,22;Am;15237;78,35;16,73
1100064;1;Colorado Do Oeste;11;RO;n„o metropolitana;amazonia;359,62;Am;15747;69,11;5,17
1100072;1;Corumbiara;11;RO;n„o metropolitana;amazonia;266,89;Am;7503;37,83;11,55
1100080;1;Costa Marques;11;RO;n„o metropolitana;amazonia;190,01;Am;12633;55,74;7,91
1100098;1;Espig√£o D'oeste;11;RO;n„o metropolitana;amazonia;296,94;Am;29722;66,43;13,77
1100106;1;Guajar√°-Mirim;11;RO;n„o metropolitana;amazonia;197,96;Am;39396;79,55;22,19
1100114;1;Jaru;11;RO;n„o metropolitana;amazonia;209,76;Am;52090;71,63;3,36
1100122;1;Ji-Paran√°;11;RO;metropolitana;amazonia;193,68;Am;136825;86,94;20,43
1100130;1;Machadinho D'oeste;11;RO;n„o metropolitana;amazonia;136,83;Am;30626;50,74;2,12
1100148;1;Nova Brasil√¢ndia D'oeste;11;RO;n„o metropolitana;amazonia;249,3;Am;17355;42,43;3,84
1100155;1;Ouro Preto Do Oeste;11;RO;n„o metropolitana;amazonia;220,01;Am;36753;75,12;10,17
1100189;1;Pimenta Bueno;11;RO;n„o metropolitana;amazonia;286,28;Am;37464;85,35;38,34
1100205;1;Porto Velho;11;RO;metropolitana;amazonia;120,26;Am;461748;89,54;43,41
1100254;1;Presidente M√©dici;11;RO;n„o metropolitana;amazonia;210,79;Am;19316;56,8;1,64
1100262;1;Rio Crespo;11;RO;n„o metropolitana;amazonia;153,27;Am;3476;34,3;22,57
1100288;1;Rolim De Moura;11;RO;n„o metropolitana;amazonia;242,23;Am;57180;82,94;14,98
1100296;1;Santa Luzia D'oeste;11;RO;n„o metropolitana;amazonia;341,63;Am;7394;41,8;1,97
