"";"altitude";"prop_residuo";"prop_esgot";"temp_med_Autumn";"umid_med_Autumn";"thr_temp_Autumn";"thr_umid_Autumn";"thr_prec_Autumn";"thr_temp_umid_Autumn";"temp_med_Spring";"umid_med_Spring";"precip_tot_Spring";"thr_temp_Spring";"thr_umid_Spring";"thr_prec_Spring";"thr_temp_umid_Spring";"temp_med_Summer";"umid_med_Summer";"precip_tot_Summer";"thr_temp_Summer";"thr_umid_Summer";"thr_prec_Summer";"thr_temp_umid_Summer";"temp_med_Winter";"umid_med_Winter";"precip_tot_Winter";"thr_temp_Winter";"thr_umid_Winter";"thr_prec_Winter";"thr_temp_umid_Winter";"log_pop10"
"altitude";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"prop_residuo";;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"prop_esgot";;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"temp_med_Autumn";;;;1;;0,956660446225524;;;0,811439863726574;0,957065512448554;;;0,885426522449985;;;;0,861694097862997;;;;;;;0,959731128605712;;;0,953194157929212;;;;
"umid_med_Autumn";;;;;1;;0,873789334567381;;;;0,800287904505929;;;;;;;;;;;;;;;;;;;;
"thr_temp_Autumn";;;;0,956660446225524;;1;;;0,884068980509954;0,898556617181714;;;0,933946611717432;;;;0,818068298201884;;;;;;;0,899254256218273;;;0,963394030523466;;;;
"thr_umid_Autumn";;;;;0,873789334567381;;1;;;;;;;;;;;;;;;;;;;;;;;;
"thr_prec_Autumn";;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
"thr_temp_umid_Autumn";;;;0,811439863726574;;0,884068980509954;;;1;;;;0,840661369032835;;;;;;;;;;;;;;0,832203637175027;;;;
"temp_med_Spring";;;;0,957065512448554;;0,898556617181714;;;;1;;;0,8711613241829;;;;0,881165858880878;;;;;;;0,967500423952905;;;0,921090144993776;;;;
"umid_med_Spring";;;;;0,800287904505929;;;;;;1;;;0,916852182194485;;;;;;;;;;;;;;;;;
"precip_tot_Spring";;;;;;;;;;;;1;;;0,941420121224118;;;;;;;;;;;;;;;;
"thr_temp_Spring";;;;0,885426522449985;;0,933946611717432;;;0,840661369032835;0,8711613241829;;;1;;;;0,804355544909827;;;0,827957948435287;;;;0,842641915330578;;;0,885259721890564;;;;
"thr_umid_Spring";;;;;;;;;;;0,916852182194485;;;1;;;;;;;0,80377553392188;;;;;;;;;;
"thr_prec_Spring";;;;;;;;;;;;0,941420121224118;;;1;;;;;;;;;;;;;;;;
"thr_temp_umid_Spring";;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;
"temp_med_Summer";;;;0,861694097862997;;0,818068298201884;;;;0,881165858880878;;;0,804355544909827;;;;1;;;;;;;;;;0,815446892912564;;;;
"umid_med_Summer";;;;;;;;;;;;;;;;;;1;;;0,84656595396124;0,822554525636647;;;;;;;;;
"precip_tot_Summer";;;;;;;;;;;;;;;;;;;1;;;0,949276612119106;;;;;;;;;
"thr_temp_Summer";;;;;;;;;;;;;0,827957948435287;;;;;;;1;;;;;;;;;;;
"thr_umid_Summer";;;;;;;;;;;;;;0,80377553392188;;;;0,84656595396124;;;1;;0,863102348668855;;;;;;;;
"thr_prec_Summer";;;;;;;;;;;;;;;;;;0,822554525636647;0,949276612119106;;;1;;;;;;;;;
"thr_temp_umid_Summer";;;;;;;;;;;;;;;;;;;;;0,863102348668855;;1;;;;;;;;
"temp_med_Winter";;;;0,959731128605712;;0,899254256218273;;;;0,967500423952905;;;0,842641915330578;;;;;;;;;;;1;;;0,922974383797721;;;;
"umid_med_Winter";;;;;;;;;;;;;;;;;;;;;;;;;1;;;0,971669464112293;;;
"precip_tot_Winter";;;;;;;;;;;;;;;;;;;;;;;;;;1;;;0,888073097301229;;
"thr_temp_Winter";;;;0,953194157929212;;0,963394030523466;;;0,832203637175027;0,921090144993776;;;0,885259721890564;;;;0,815446892912564;;;;;;;0,922974383797721;;;1;;;;
"thr_umid_Winter";;;;;;;;;;;;;;;;;;;;;;;;;0,971669464112293;;;1;;;
"thr_prec_Winter";;;;;;;;;;;;;;;;;;;;;;;;;;0,888073097301229;;;1;;
"thr_temp_umid_Winter";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
"log_pop10";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
