"";"altitude";"prop_residuo";"prop_esgot";"thr_umid_Autumn";"thr_prec_Autumn";"precip_tot_Spring";"thr_prec_Spring";"thr_temp_umid_Spring";"precip_tot_Summer";"thr_temp_Summer";"thr_temp_umid_Summer";"umid_med_Winter";"precip_tot_Winter";"thr_umid_Winter";"thr_prec_Winter";"thr_temp_umid_Winter";"log_pop10"
"altitude";1;;;;;;;;;;;;;;;;
"prop_residuo";;1;;;;;;;;;;;;;;;
"prop_esgot";;;1;;;;;;;;;;;;;;
"thr_umid_Autumn";;;;1;;;;;;;;;;;;;
"thr_prec_Autumn";;;;;1;;;;;;;;;;;;
"precip_tot_Spring";;;;;;1;0,941420121224118;;;;;;;;;;
"thr_prec_Spring";;;;;;0,941420121224118;1;;;;;;;;;;
"thr_temp_umid_Spring";;;;;;;;1;;;;;;;;;
"precip_tot_Summer";;;;;;;;;1;;;;;;;;
"thr_temp_Summer";;;;;;;;;;1;;;;;;;
"thr_temp_umid_Summer";;;;;;;;;;;1;;;;;;
"umid_med_Winter";;;;;;;;;;;;1;;0,971669464112293;;;
"precip_tot_Winter";;;;;;;;;;;;;1;;0,888073097301229;;
"thr_umid_Winter";;;;;;;;;;;;0,971669464112293;;1;;;
"thr_prec_Winter";;;;;;;;;;;;;0,888073097301229;;1;;
"thr_temp_umid_Winter";;;;;;;;;;;;;;;;1;
"log_pop10";;;;;;;;;;;;;;;;;1
