"Odds Ratio";"IC 95% Lower";"IC 95% Upper";"p-valor"
"0.000";"0.000";"0.000";"0.000"
"0.626";"0.243";"1.607";"0.331"
"0.023";"0.010";"0.051";"0.000"
"2.398";"1.162";"4.979";"0.018"
"0.886";"0.451";"1.723";"0.724"
"683.955";"423.425";"1138.381";"0.000"
"2.277";"1.561";"3.367";"0.000"
"0.027";"0.010";"0.069";"0.000"
"1.951";"0.973";"4.005";"0.064"
"0.252";"0.146";"0.426";"0.000"
"0.050";"0.001";"0.980";"0.106"
"0.015";"0.001";"0.145";"0.000"
"1.117";"1.050";"1.190";"0.000"
"1.228";"0.600";"2.497";"0.571"
"1.606";"0.869";"2.972";"0.130"
"1.312";"0.615";"2.780";"0.480"
"2.520";"0.943";"6.806";"0.067"
"2.847";"1.257";"6.412";"0.012"
"0.641";"0.177";"2.298";"0.497"
"0.796";"0.364";"1.734";"0.566"
"0.854";"0.230";"3.125";"0.813"
"2.471";"1.865";"3.289";"0.000"
"1.123";"1.075";"1.174";"0.000"
"1.004";"1.002";"1.005";"0.000"
"0.936";"0.902";"0.972";"0.001"
"0.999";"0.999";"1.000";"0.001"
"1.001";"1.001";"1.002";"0.000"
"0.530";"0.371";"0.749";"0.000"
"1.863";"1.320";"2.660";"0.000"
