0;1;column;season;p-value;global
22.15 (3.63);22.97 (2.56);temp_med;Autumn;1,57E-48;22.25 (3.53)
23.99 (3.26);24.6 (2.32);temp_med;Spring;1,57E-34;24.06 (3.17)
24.62 (1.88);25.0 (1.48);temp_med;Summer;1,00E-38;24.67 (1.84)
21.38 (4.39);22.44 (3.22);temp_med;Winter;2,43E-56;21.5 (4.28)
76.56 (7.94);76.91 (7.19);umid_med;Autumn;0,004625443;76.6 (7.85)
70.62 (9.38);71.84 (8.28);umid_med;Spring;4,36E-17;70.76 (9.26)
76.63 (7.89);77.8 (7.23);umid_med;Summer;2,59E-21;76.77 (7.83)
66.9 (13.42);65.17 (12.68);umid_med;Winter;2,10E-16;66.7 (13.34)
1203.77 (809.45);1187.98 (801.6);precip_tot;Autumn;0,214463637;1201.92 (808.55)
1438.04 (810.91);1489.8 (779.85);precip_tot;Spring;4,61E-05;1444.12 (807.49)
1864.69 (1028.18);2037.61 (1091.19);precip_tot;Summer;2,86E-26;1885.0 (1037.27)
689.91 (774.38);520.18 (560.6);precip_tot;Winter;1,67E-46;669.97 (754.41)
65.85 (30.87);74.86 (22.02);thr_temp;Autumn;5,48E-81;66.91 (30.1)
76.72 (21.17);84.02 (12.15);thr_temp;Spring;8,55E-115;77.57 (20.46)
87.06 (8.26);89.34 (3.16);thr_temp;Summer;2,18E-76;87.33 (7.87)
58.01 (35.53);67.45 (28.1);thr_temp;Winter;1,42E-66;59.12 (34.88)
83.41 (16.58);84.89 (13.6);thr_umid;Autumn;7,64E-09;83.58 (16.26)
71.28 (24.1);73.95 (20.14);thr_umid;Spring;6,98E-13;71.59 (23.69)
81.93 (15.93);84.25 (13.06);thr_umid;Summer;4,99E-21;82.21 (15.64)
62.01 (33.16);58.28 (31.94);thr_umid;Winter;7,09E-13;61.57 (33.04)
26.53 (15.45);28.62 (16.93);thr_prec;Autumn;1,75E-17;26.77 (15.64)
29.86 (16.62);32.72 (17.36);thr_prec;Spring;1,59E-27;30.2 (16.73)
41.08 (20.34);45.21 (20.6);thr_prec;Summer;7,69E-38;41.57 (20.41)
13.86 (14.48);12.69 (14.42);thr_prec;Winter;2,68E-07;13.72 (14.48)
57.56 (29.12);68.11 (22.62);thr_temp_umid;Autumn;5,53E-122;58.8 (28.63)
57.88 (24.43);67.73 (19.99);thr_temp_umid;Spring;4,52E-149;59.04 (24.16)
78.72 (16.63);83.31 (13.11);thr_temp_umid;Summer;9,19E-72;79.26 (16.32)
30.37 (32.58);36.66 (32.63);thr_temp_umid;Winter;1,76E-34;31.11 (32.65)
