"";"prop_residuo";"prop_esgot";"temp_med_Autumn";"umid_med_Autumn";"precip_tot_Autumn";"thr_temp_Autumn";"thr_umid_Autumn";"thr_prec_Autumn";"temp_med_Spring";"umid_med_Spring";"precip_tot_Spring";"thr_temp_Spring";"thr_prec_Spring";"thr_temp_umid_Spring";"temp_med_Summer";"umid_med_Summer";"precip_tot_Summer";"thr_temp_Summer";"thr_umid_Summer";"thr_prec_Summer";"thr_temp_umid_Summer";"temp_med_Winter";"umid_med_Winter";"precip_tot_Winter";"thr_temp_Winter";"thr_umid_Winter";"thr_prec_Winter";"thr_temp_umid_Winter";"log_pop22"
"prop_residuo";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"prop_esgot";;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
"temp_med_Autumn";;;1;;;0,958554229707987;;;0,95594908759407;;;0,865441322473632;;;0,85657633719778;;;;;;;0,967319409765652;;;0,958195974306543;;;;
"umid_med_Autumn";;;;1;;;0,868601588126806;;;;;;;;;;;;;;;;0,819802857253278;;;;;;
"precip_tot_Autumn";;;;;1;;;0,934126347912355;;;;;;;;;;;;;;;;;;;;;
"thr_temp_Autumn";;;0,958554229707987;;;1;;;0,90676410326859;;;0,921663774906429;;;0,834941030523422;;;;;;;0,903521600677044;;;0,969684134808208;;;;
"thr_umid_Autumn";;;;0,868601588126806;;;1;;;;;;;;;;;;;;;;0,813101888136761;;;0,821294510692707;;;
"thr_prec_Autumn";;;;;0,934126347912355;;;1;;;;;;;;;;;;;;;;;;;;;
"temp_med_Spring";;;0,95594908759407;;;0,90676410326859;;;1;;;0,862941138159236;;;0,870969895137876;;;;;;;0,960183515995102;;;0,925870518973154;;;;
"umid_med_Spring";;;;;;;;;;1;;;;;;;;;;;;;;;;;;;
"precip_tot_Spring";;;;;;;;;;;1;;0,951329913720461;;;;;;;;;;;;;;;;
"thr_temp_Spring";;;0,865441322473632;;;0,921663774906429;;;0,862941138159236;;;1;;;;;;0,813524587400179;;;;0,828969299397174;;;0,871128295373403;;;;
"thr_prec_Spring";;;;;;;;;;;0,951329913720461;;1;;;;;;;;;;;;;;;;
"thr_temp_umid_Spring";;;;;;;;;;;;;;1;;;;;;;;;;;;;;;
"temp_med_Summer";;;0,85657633719778;;;0,834941030523422;;;0,870969895137876;;;;;;1;;;;;;;;;;0,813764013440175;;;;
"umid_med_Summer";;;;;;;;;;;;;;;;1;;;0,828113413012622;0,833941302743777;;;;;;;;;
"precip_tot_Summer";;;;;;;;;;;;;;;;;1;;;0,932518343211431;;;;;;;;;
"thr_temp_Summer";;;;;;;;;;;;0,813524587400179;;;;;;1;;;;;;;;;;;
"thr_umid_Summer";;;;;;;;;;;;;;;;0,828113413012622;;;1;;;;;;;;;;
"thr_prec_Summer";;;;;;;;;;;;;;;;0,833941302743777;0,932518343211431;;;1;;;;;;;;;
"thr_temp_umid_Summer";;;;;;;;;;;;;;;;;;;;;1;;;;;;;;
"temp_med_Winter";;;0,967319409765652;;;0,903521600677044;;;0,960183515995102;;;0,828969299397174;;;;;;;;;;1;;;0,928374630828158;;;;
"umid_med_Winter";;;;0,819802857253278;;;0,813101888136761;;;;;;;;;;;;;;;;1;;;0,971841993676365;;;
"precip_tot_Winter";;;;;;;;;;;;;;;;;;;;;;;;1;;;0,90590106540979;;
"thr_temp_Winter";;;0,958195974306543;;;0,969684134808208;;;0,925870518973154;;;0,871128295373403;;;0,813764013440175;;;;;;;0,928374630828158;;;1;;;;
"thr_umid_Winter";;;;;;;0,821294510692707;;;;;;;;;;;;;;;;0,971841993676365;;;1;;;
"thr_prec_Winter";;;;;;;;;;;;;;;;;;;;;;;;0,90590106540979;;;1;;
"thr_temp_umid_Winter";;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
"log_pop22";;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
