"";"prop_residuo";"prop_esgot";"precip_tot_Autumn";"thr_prec_Autumn";"umid_med_Spring";"precip_tot_Spring";"thr_prec_Spring";"thr_temp_umid_Spring";"precip_tot_Summer";"thr_temp_Summer";"thr_umid_Summer";"thr_temp_umid_Summer";"precip_tot_Winter";"thr_prec_Winter";"thr_temp_umid_Winter";"log_pop22"
"prop_residuo";1;;;;;;;;;;;;;;;
"prop_esgot";;1;;;;;;;;;;;;;;
"precip_tot_Autumn";;;1;0,934126347912355;;;;;;;;;;;;
"thr_prec_Autumn";;;0,934126347912355;1;;;;;;;;;;;;
"umid_med_Spring";;;;;1;;;;;;;;;;;
"precip_tot_Spring";;;;;;1;0,951329913720461;;;;;;;;;
"thr_prec_Spring";;;;;;0,951329913720461;1;;;;;;;;;
"thr_temp_umid_Spring";;;;;;;;1;;;;;;;;
"precip_tot_Summer";;;;;;;;;1;;;;;;;
"thr_temp_Summer";;;;;;;;;;1;;;;;;
"thr_umid_Summer";;;;;;;;;;;1;;;;;
"thr_temp_umid_Summer";;;;;;;;;;;;1;;;;
"precip_tot_Winter";;;;;;;;;;;;;1;0,90590106540979;;
"thr_prec_Winter";;;;;;;;;;;;;0,90590106540979;1;;
"thr_temp_umid_Winter";;;;;;;;;;;;;;;1;
"log_pop22";;;;;;;;;;;;;;;;1
