muni_code;region;tipo_regiao;bioma;altitude;koppen;pop10;pop22;prop_residuo;prop_esgot
1100015;1;nao metropolitana;amazonia;246,08;Am;24392;21558;56,86;2,24
1100023;1;nao metropolitana;amazonia;165,9;Am;90353;100896;85,14;8,91
1100031;1;nao metropolitana;amazonia;224,18;Am;6313;5107;49,77;21,01
1100049;1;metropolitana;amazonia;229,95;Am;78574;92202;78,94;54,03
1100056;1;nao metropolitana;amazonia;192,22;Am;17029;15237;78,35;16,73
1100064;1;nao metropolitana;amazonia;359,62;Am;18591;15747;69,11;5,17
1100072;1;nao metropolitana;amazonia;266,89;Am;8783;7503;37,83;11,55
1100080;1;nao metropolitana;amazonia;190,01;Am;13678;12633;55,74;7,91
1100098;1;nao metropolitana;amazonia;296,94;Am;28729;29722;66,43;13,77
1100106;1;nao metropolitana;amazonia;197,96;Am;41656;39396;79,55;22,19
1100114;1;nao metropolitana;amazonia;209,76;Am;52005;52090;71,63;3,36
1100122;1;metropolitana;amazonia;193,68;Am;116610;136825;86,94;20,43
1100130;1;nao metropolitana;amazonia;136,83;Am;31135;30626;50,74;2,12
1100148;1;nao metropolitana;amazonia;249,3;Am;19874;17355;42,43;3,84
1100155;1;nao metropolitana;amazonia;220,01;Am;37928;36753;75,12;10,17
1100189;1;nao metropolitana;amazonia;286,28;Am;33822;37464;85,35;38,34
1100205;1;metropolitana;amazonia;120,26;Am;428527;461748;89,54;43,41
1100254;1;nao metropolitana;amazonia;210,79;Am;22319;19316;56,8;1,64
1100262;1;nao metropolitana;amazonia;153,27;Am;3316;3476;34,3;22,57
1100288;1;nao metropolitana;amazonia;242,23;Am;50648;57180;82,94;14,98
1100296;1;nao metropolitana;amazonia;341,63;Am;8886;7394;41,8;1,97
1100304;1;nao metropolitana;amazonia;409,37;Am;76202;95599;93,6;13,51
1100320;1;nao metropolitana;amazonia;236,82;Am;21828;21612;45,48;9,98
1100338;1;nao metropolitana;amazonia;205,24;Am;22546;25452;47,01;7,88
1100346;1;nao metropolitana;amazonia;248,65;Am;16853;13092;51,11;35,84
1100379;1;nao metropolitana;amazonia;255,49;Am;12816;13023;37,36;0,54
1100403;1;nao metropolitana;amazonia;134,69;Am;17135;17140;42,52;10,83
1100452;1;nao metropolitana;amazonia;170,1;Am;32383;28178;64,54;1,82
1100502;1;nao metropolitana;amazonia;252,89;Am;10240;7653;33,79;9,45
1100601;1;nao metropolitana;amazonia;191,55;Am;5736;4157;35,7;21,81
1100700;1;nao metropolitana;amazonia;248,65;Am;12665;8840;27,08;19,87
1100809;1;nao metropolitana;amazonia;103,22;Am;19779;22564;55,51;9,02
1100908;1;nao metropolitana;amazonia;201,43;Am;3575;3269;25,63;1,44
