"Variável";"Epidêmico_OR";"Episódico_OR";"Sem transmissão_OR";"Transmissão Persistente_OR";"Epidêmico_IC95";"Episódico_IC95";"Sem transmissão_IC95";"Transmissão Persistente_IC95";"Epidêmico_p_valor";"Episódico_p_valor";"Sem transmissão_p_valor";"Transmissão Persistente_p_valor"
"region2";"0.41";"3.99";"5.49";"0.00";"[0.41 - 0.41]";"[3.99 - 3.99]";"[5.49 - 5.49]";"[0.00 - 0.00]";NA;NA;NA;NA
"region3";"1.33";"0.72";"2.15";"23.07";"[1.33 - 1.33]";"[0.72 - 0.72]";"[2.15 - 2.15]";"[23.07 - 23.07]";NA;NA;NA;NA
"region4";"2.26";"0.21";"0.45";"75.20";"[2.26 - 2.26]";"[0.21 - 0.21]";"[0.45 - 0.45]";"[75.20 - 75.20]";NA;NA;NA;NA
"region5";"1.56";"0.43";"2.63";"1.75";"[1.56 - 1.56]";"[0.43 - 0.43]";"[2.63 - 2.63]";"[1.75 - 1.75]";NA;NA;NA;NA
"pop22";"1.00";"1.00";"1.00";"1.00";"[1.00 - 1.00]";"[1.00 - 1.00]";"[1.00 - 1.00]";"[1.00 - 1.00]";NA;NA;NA;NA
"dengue_pattern_2010_2016Epidêmico";"12.25";"0.02";"0.09";"2539.96";"[12.25 - 12.25]";"[0.02 - 0.02]";"[0.09 - 0.09]";"[2539.96 - 2539.96]";NA;NA;NA;NA
"dengue_pattern_2010_2016Episódico";"0.22";"6.57";"75.54";"0.16";"[0.22 - 0.22]";"[6.57 - 6.57]";"[75.54 - 75.54]";"[0.16 - 0.16]";NA;NA;NA;NA
"dengue_pattern_2010_2016Sem transmissão";"0.00";"203.75";"14065.17";"1.18";"[0.00 - 0.00]";"[203.74 - 203.75]";"[14065.04 - 14065.30]";"[1.18 - 1.18]";NA;NA;NA;NA
"dengue_pattern_2010_2016Transmissão Persistente";"1.52";"0.28";"920878381041924543202084400240886.00";"1371.07";"[1.52 - 1.52]";"[0.28 - 0.28]";"[920878381041924543202084400240886.00 - 920878381041924543202084400240886.00]";"[1371.07 - 1371.07]";NA;NA;NA;NA
"thr_temp_Spring";"1.11";"0.92";"0.86";"1.42";"[1.11 - 1.11]";"[0.92 - 0.92]";"[0.85 - 0.86]";"[1.42 - 1.42]";NA;NA;NA;NA
"biomaamazonia";"2.24";"1.25";"27.46";"0.00";"[2.24 - 2.24]";"[1.25 - 1.25]";"[27.46 - 27.46]";"[0.00 - 0.00]";NA;NA;NA;NA
"biomacaatinga";"1.81";"0.52";"10.64";"0.24";"[1.81 - 1.81]";"[0.52 - 0.52]";"[10.64 - 10.64]";"[0.24 - 0.24]";NA;NA;NA;NA
"biomacerrado";"0.90";"1.29";"18.74";"2.13";"[0.90 - 0.90]";"[1.29 - 1.29]";"[18.74 - 18.74]";"[2.13 - 2.13]";NA;NA;NA;NA
"biomapampa";"0.00";"3.36";"9.61";"0.00";"[0.00 - 0.00]";"[3.36 - 3.36]";"[9.61 - 9.61]";"[0.00 - 0.00]";NA;NA;NA;NA
"biomapantanal";"7.42";"4.05";"0.73";"0.75";"[7.42 - 7.42]";"[4.05 - 4.05]";"[0.73 - 0.73]";"[0.75 - 0.75]";NA;NA;NA;NA
"precip_tot_Autumn";"1.00";"1.00";"1.00";"1.00";"[1.00 - 1.00]";"[1.00 - 1.00]";"[1.00 - 1.00]";"[1.00 - 1.01]";NA;NA;NA;NA
"altitude";"1.00";"1.00";"1.00";"1.00";"[1.00 - 1.00]";"[1.00 - 1.00]";"[1.00 - 1.00]";"[1.00 - 1.00]";NA;NA;NA;NA
"thr_temp_umid_Autumn";"0.96";"1.01";"1.02";"0.87";"[0.96 - 0.96]";"[1.01 - 1.01]";"[1.01 - 1.02]";"[0.87 - 0.87]";NA;NA;NA;NA
"precip_tot_Winter";"1.00";"1.00";"1.00";"1.00";"[1.00 - 1.00]";"[1.00 - 1.00]";"[1.00 - 1.00]";"[1.00 - 1.00]";NA;NA;NA;NA
"tipo_regiaometropolitana";"0.60";"0.61";"0.56";"4.91";"[0.60 - 0.60]";"[0.61 - 0.61]";"[0.56 - 0.56]";"[4.91 - 4.91]";NA;NA;NA;NA
"thr_temp_umid_Summer";"1.04";"0.99";"0.99";"1.13";"[1.04 - 1.04]";"[0.99 - 0.99]";"[0.98 - 0.99]";"[1.13 - 1.13]";NA;NA;NA;NA
"precip_tot_Spring";"1.00";"1.00";"1.00";"1.00";"[1.00 - 1.00]";"[1.00 - 1.00]";"[1.00 - 1.00]";"[1.00 - 1.00]";NA;NA;NA;NA
