geocode;CODE_MUNI_7;CODE_MUNI;MUNI_NAME;UF_CODE;UF_ACR;UF_NAME;REGION
1;1100015;110001;Alta Floresta D'Oeste;11;RO;Rondonia;1
2;1100023;110002;Ariquemes;11;RO;Rondonia;1
3;1100031;110003;Cabixi;11;RO;Rondonia;1
4;1100049;110004;Cacoal;11;RO;Rondonia;1
5;1100056;110005;Cerejeiras;11;RO;Rondonia;1
6;1100064;110006;Colorado do Oeste;11;RO;Rondonia;1
7;1100072;110007;Corumbiara;11;RO;Rondonia;1
8;1100080;110008;Costa Marques;11;RO;Rondonia;1
9;1100098;110009;Espigão D'Oeste;11;RO;Rondonia;1
10;1100106;110010;Guajará-Mirim;11;RO;Rondonia;1
11;1100114;110011;Jaru;11;RO;Rondonia;1
12;1100122;110012;Ji-Paraná;11;RO;Rondonia;1
13;1100130;110013;Machadinho D'Oeste;11;RO;Rondonia;1
14;1100148;110014;Nova Brasilândia D'Oeste;11;RO;Rondonia;1
15;1100155;110015;Ouro Preto do Oeste;11;RO;Rondonia;1
16;1100189;110018;Pimenta Bueno;11;RO;Rondonia;1
17;1100205;110020;Porto Velho;11;RO;Rondonia;1
18;1100254;110025;Presidente Médici;11;RO;Rondonia;1
19;1100262;110026;Rio Crespo;11;RO;Rondonia;1
20;1100288;110028;Rolim de Moura;11;RO;Rondonia;1
21;1100296;110029;Santa Luzia D'Oeste;11;RO;Rondonia;1
22;1100304;110030;Vilhena;11;RO;Rondonia;1
23;1100320;110032;São Miguel do Guaporé;11;RO;Rondonia;1
24;1100338;110033;Nova Mamoré;11;RO;Rondonia;1
25;1100346;110034;Alvorada D'Oeste;11;RO;Rondonia;1
26;1100379;110037;Alto Alegre dos Parecis;11;RO;Rondonia;1
27;1100403;110040;Alto Paraíso;11;RO;Rondonia;1
28;1100452;110045;Buritis;11;RO;Rondonia;1
29;1100502;110050;Novo Horizonte do Oeste;11;RO;Rondonia;1
30;1100601;110060;Cacaulândia;11;RO;Rondonia;1
31;1100700;110070;Campo Novo de Rondônia;11;RO;Rondonia;1
32;1100809;110080;Candeias do Jamari;11;RO;Rondonia;1
33;1100908;110090;Castanheiras;11;RO;Rondonia;1
34;1100924;110092;Chupinguaia;11;RO;Rondonia;1
35;1100940;110094;Cujubim;11;RO;Rondonia;1
