region;uf_code;uf_acr;uf_name;muni_code;muni_name;xp;tp;dc3;dcmax;dci;ds3;dsmax;st;inc;dengue_pattern
1;11;RO;Rondonia;1100015;Alta Floresta D'Oeste;40,3;23,3;2,3;6,7;2,7;3,3;5,7;1,6;1589,5;Epidêmico
1;11;RO;Rondonia;1100023;Ariquemes;65,7;22,3;1,3;19,0;1,7;1,3;4,7;9,0;849,3;Epidêmico
1;11;RO;Rondonia;1100031;Cabixi;10,3;19,7;0,7;1,7;1,0;3,0;26,3;0,2;771,2;Episódico/Epidêmico
1;11;RO;Rondonia;1100049;Cacoal;84,3;21,7;1,7;19,0;1,7;1,3;3,7;7,7;1225,5;Epidêmico
1;11;RO;Rondonia;1100056;Cerejeiras;12,3;22,0;0,7;3,7;1,0;3,3;16,3;0,6;572,5;Episódico/Epidêmico
1;11;RO;Rondonia;1100064;Colorado do Oeste;15,3;29,0;0,3;2,0;0,3;2,7;21,0;0,2;258,1;Episódico/Epidêmico
1;11;RO;Rondonia;1100072;Corumbiara;7,7;17,3;0,7;1,0;0,3;3,0;20,0;0,2;512,0;Episódico/Epidêmico
1;11;RO;Rondonia;1100080;Costa Marques;10,7;28,7;0,3;1,7;2,0;5,0;11,0;0,2;325,7;Episódico/Epidêmico
1;11;RO;Rondonia;1100098;Espigão D'Oeste;25,7;23,0;1,0;8,7;0,3;3,3;10,7;2,5;715,5;Episódico/Epidêmico
1;11;RO;Rondonia;1100106;Guajará-Mirim;72,0;20,0;0,7;5,3;1,3;2,3;9,3;1,8;717,9;Episódico/Epidêmico
1;11;RO;Rondonia;1100114;Jaru;74,7;20,7;1,0;12,3;1,3;2,0;9,0;4,1;1241,0;Epidêmico
1;11;RO;Rondonia;1100122;Ji-Paraná;113,7;24,7;1,0;21,0;1,7;1,3;6,0;8,7;979,9;Epidêmico
1;11;RO;Rondonia;1100130;Machadinho D'Oeste;35,7;26,3;1,7;8,3;3,0;2,3;5,3;2,2;811,6;Epidêmico
1;11;RO;Rondonia;1100148;Nova Brasilândia D'Oeste;35,7;24,7;0,7;12,0;3,0;2,0;7,3;3,0;1661,5;Epidêmico
1;11;RO;Rondonia;1100155;Ouro Preto do Oeste;4,7;21,0;0,0;0,7;0,7;3,7;12,7;0,2;113,2;Episódico/Epidêmico
1;11;RO;Rondonia;1100189;Pimenta Bueno;84,3;25,0;2,0;15,3;0,7;1,7;10,0;5,8;2454,6;Epidêmico
1;11;RO;Rondonia;1100205;Porto Velho;165,3;20,7;2,3;31,3;2,3;0,0;1,0;14,5;439,3;Epidêmico
1;11;RO;Rondonia;1100254;Presidente Médici;37,7;24,0;1,7;16,3;2,0;2,0;4,0;0,9;1889,4;Epidêmico
1;11;RO;Rondonia;1100262;Rio Crespo;9,0;31,7;0,3;4,7;0,0;3,3;13,7;0,1;1976,1;Episódico/Epidêmico
1;11;RO;Rondonia;1100288;Rolim de Moura;27,0;19,7;1,3;12,3;0,7;2,3;9,3;2,1;591,0;Episódico/Epidêmico
1;11;RO;Rondonia;1100296;Santa Luzia D'Oeste;19,0;24,7;0,3;4,0;0,3;3,7;13,0;0,7;1996,4;Episódico/Epidêmico
1;11;RO;Rondonia;1100304;Vilhena;81,7;22,7;2,3;24,3;1,3;0,0;1,0;10,0;1288,0;Epidêmico
1;11;RO;Rondonia;1100320;São Miguel do Guaporé;21,0;24,7;0,0;1,3;0,7;4,3;15,3;0,2;221,9;Episódico/Epidêmico
1;11;RO;Rondonia;1100338;Nova Mamoré;17,3;15,0;0,3;5,7;0,3;3,7;10,3;0,9;598,8;Episódico/Epidêmico
1;11;RO;Rondonia;1100346;Alvorada D'Oeste;21,3;30,0;0,7;2,3;0,3;3,0;23,7;0,4;708,6;Episódico/Epidêmico
1;11;RO;Rondonia;1100379;Alto Alegre dos Parecis;9,3;19,0;0,3;1,3;0,7;3,3;12,7;0,1;341,8;Episódico/Epidêmico
1;11;RO;Rondonia;1100403;Alto Paraíso;12,0;23,0;0,0;1,7;2,0;3,3;12,3;0,4;320,3;Episódico/Epidêmico
1;11;RO;Rondonia;1100452;Buritis;32,3;15,0;2,0;10,3;3,3;1,7;4,3;1,4;916,1;Epidêmico
1;11;RO;Rondonia;1100502;Novo Horizonte do Oeste;4,0;17,0;0,0;0,3;0,3;2,3;29,7;0,1;165,8;Episódico
1;11;RO;Rondonia;1100601;Cacaulândia;24,0;24,7;0,3;7,3;1,3;3,7;13,0;0,4;3555,2;Episódico/Epidêmico
1;11;RO;Rondonia;1100700;Campo Novo de Rondônia;16,7;20,3;0,7;2,0;1,3;3,0;7,7;0,5;582,3;Episódico/Epidêmico
1;11;RO;Rondonia;1100809;Candeias do Jamari;8,7;29,0;0,3;2,0;4,0;2,7;18,3;0,3;343,0;Episódico/Epidêmico
1;11;RO;Rondonia;1100908;Castanheiras;4,7;15,3;0,0;0,3;0,7;3,0;14,0;0,1;1004,7;Episódico/Epidêmico
1;11;RO;Rondonia;1100924;Chupinguaia;23,7;27,0;1,0;9,7;2,3;2,7;5,0;1,1;3030,3;Epidêmico
1;11;RO;Rondonia;1100940;Cujubim;14,7;33,3;0,7;6,3;3,0;2,0;13,0;0,4;781,2;Epidêmico
1;11;RO;Rondonia;1101005;Governador Jorge Teixeira;8,3;20,0;0,7;3,3;0,3;1,7;34,0;0,3;547,3;Episódico
