"";"municipio_geocodigo";"xpm";"tpm";"dc3m";"dcmaxm";"dcim";"ds3m";"dsmaxm";"stm";"incm"
"1";1303601;0;1;0;0;0;1;52;0;0
"2";1303957;0;1;0;0;0;1;52;0;0
"3";1304237;0;1;0;0;0;1;52;0;0
"4";1502004;0;1;0;0;0;1;52;0;0
"5";1502509;0;1;0;0;0;1;52;0;0
"6";1502806;0;1;0;0;0;1;52;0;0
"7";1503002;0;1;0;0;0;1;52;0;0
"8";1504505;0;1;0;0;0;1;52;0;0
"9";1506401;0;1;0;0;0;1;52;0;0
"10";1600212;0;1;0;0;0;1;52;0;0
"11";1600550;0;1;0;0;0;1;52;0;0
"12";1600808;0;1;0;0;0;1;52;0;0
"13";2100402;0;1;0;0;0;1;52;0;0
"14";2102408;0;1;0;0;0;1;52;0;0
"15";2103109;0;1;0;0;0;1;52;0;0
"16";2106359;0;1;0;0;0;1;52;0;0
"17";2111789;0;1;0;0;0;1;52;0;0
"18";2201919;0;1;0;0;0;1;52;0;0
"19";2201988;0;1;0;0;0;1;52;0;0
"20";2202251;0;1;0;0;0;1;52;0;0
"21";2203602;0;1;0;0;0;1;52;0;0
"22";2205359;0;1;0;0;0;1;52;0;0
"23";2207850;0;1;0;0;0;1;52;0;0
"24";2207934;0;1;0;0;0;1;52;0;0
"25";2207959;0;1;0;0;0;1;52;0;0
"26";2209104;0;1;0;0;0;1;52;0;0
"27";2209302;0;1;0;0;0;1;52;0;0
"28";2210102;0;1;0;0;0;1;52;0;0
"29";2210904;0;1;0;0;0;1;52;0;0
"30";2211704;0;1;0;0;0;1;52;0;0
"31";2513943;0;1;0;0;0;1;52;0;0
"32";2611533;0;1;0;0;0;1;52;0;0
"33";2704906;0;1;0;0;0;1;52;0;0
"34";2800100;0;1;0;0;0;1;52;0;0
"35";2802205;0;1;0;0;0;1;52;0;0
"36";2803302;0;1;0;0;0;1;52;0;0
"37";2803807;0;1;0;0;0;1;52;0;0
"38";2902203;0;1;0;0;0;1;52;0;0
"39";3106804;0;1;0;0;0;1;52;0;0
"40";3107208;0;1;0;0;0;1;52;0;0
"41";3114808;0;1;0;0;0;1;52;0;0
"42";3117836;0;1;0;0;0;1;52;0;0
"43";3118502;0;1;0;0;0;1;52;0;0
"44";3121704;0;1;0;0;0;1;52;0;0
"45";3145505;0;1;0;0;0;1;52;0;0
"46";3152131;0;1;0;0;0;1;52;0;0
"47";3159100;0;1;0;0;0;1;52;0;0
"48";3160207;0;1;0;0;0;1;52;0;0
"49";3160504;0;1;0;0;0;1;52;0;0
"50";3164803;0;1;0;0;0;1;52;0;0
"51";4100301;0;1;0;0;0;1;52;0;0
"52";4104105;0;1;0;0;0;1;52;0;0
"53";4106100;0;1;0;0;0;1;52;0;0
"54";4120101;0;1;0;0;0;1;52;0;0
