"";"Transmissão Persistente";"Epidêmico";"Episódico/Epidêmico";"Episódico";"Sem transmissão"
"AC";0;11;8;3;0
"AM";0;7;22;26;7
"AP";0;1;4;8;3
"PA";0;10;83;48;3
"RO";0;9;35;8;0
"RR";0;2;11;2;0
"TO";1;8;73;57;0
"AL";0;4;57;41;0
"BA";1;28;246;142;0
"CE";1;25;143;15;0
"MA";0;2;59;146;10
"PB";0;8;115;98;2
"PE";0;29;124;31;1
"PI";0;2;54;159;9
"RN";1;10;109;47;0
"SE";0;6;33;34;2
"ES";2;20;51;5;0
"MG";6;84;457;290;16
"RJ";1;21;54;16;0
"SP";9;210;374;52;0
"PR";3;95;228;70;3
"RS";0;4;89;348;56
"SC";2;9;93;158;33
"DF";1;0;0;0;0
"GO";3;57;165;19;2
"MS";1;34;44;0;0
"MT";0;30;90;18;3
