"municipio_geocodigo","epiyear","Xp","Tp","Dc3","Dc6","Dcmax","Dcmed","Dci","Ds3","Ds6","Dsmax","Dsmed","P","Inc"
"110001","2010/2011",28,3,1,0,4,1.5,4,3,2,16,1.5,0.153846153846154,504.299282227876
"110002","2010/2011",13,49,3,1,6,3,1,1,1,11,1,0.326923076923077,192.288036509798
"110003","2010/2011",8,14,0,0,1,1,0,3,2,24,16,0.0192307692307692,292.820561456753
"110004","2010/2011",12,52,2,1,11,4,2,1,0,3,1,0.326923076923077,237.398455212972
"110005","2010/2011",31,4,2,1,8,3,3,2,0,3,1,0.307692307692308,1206.84386568005
"110006","2010/2011",65,50,1,1,23,2,1,1,1,11,6.5,0.5,3348.34789443454
"110007","2010/2011",5,8,1,0,3,3,1,3,2,26,9,0.0576923076923077,244.80825671484
"110008","2010/2011",33,9,2,1,7,2,3,2,2,15,1,0.230769230769231,1161.789216075
"110009","2010/2011",18,45,0,0,2,2,0,1,1,19,1.5,0.134615384615385,355.752240066303
"110010","2010/2011",35,11,2,2,25,6,3,1,0,4,2,0.634615384615385,1556.00065776882
"110011","2010/2011",29,52,0,0,1,1,5,4,2,8,1.5,0.0192307692307692,119.893428863803
"110012","2010/2011",14,32,2,0,3,2,3,2,2,12,1,0.211538461538462,110.193093972122
"110013","2010/2011",29,49,1,1,22,1,2,0,0,2,1,0.5,1103.74903216936
"110014","2010/2011",44,15,2,2,12,5.5,2,1,0,3,1.5,0.461538461538462,2432.99839664036
"110015","2010/2011",18,49,0,0,2,1,3,1,0,3,1,0.0961538461538462,319.632019948972
"110018","2010/2011",13,15,0,0,2,1,5,2,0,5,2,0.134615384615385,342.667440086497
"110020","2010/2011",106,50,2,1,30,1,0,0,0,0,0,0.730769230769231,219.072454741584
"110025","2010/2011",15,15,2,0,5,1,5,2,1,7,1,0.230769230769231,611.605637021296
"110026","2010/2011",5,3,0,0,1,1,4,4,1,17,4,0.0384615384615385,1152.97696035931
"110028","2010/2011",37,49,2,1,12,3,2,2,1,22,2.5,0.326923076923077,486.091816601237
"110029","2010/2011",8,12,0,0,2,1.5,7,4,2,15,2,0.0576923076923077,328.900208303465
"110030","2010/2011",23,8,1,1,16,1,4,0,0,2,1,0.403846153846154,361.881517365451
"110032","2010/2011",15,50,0,0,1,1,9,1,1,8,1,0.0769230769230769,354.595292998717
"110033","2010/2011",2,22,0,0,0,0,4,4,3,26,5,0,35.0121048461045
"110034","2010/2011",30,10,3,1,16,3,0,1,0,3,2,0.480769230769231,1970.5850062779
"110037","2010/2011",7,14,0,0,1,1,4,7,1,6,3,0.0384615384615385,373.947264336541
"110040","2010/2011",14,14,1,1,12,2,3,0,0,2,1,0.307692307692308,1085.56141463188
"110045","2010/2011",41,52,2,1,19,1.5,0,0,0,1,1,0.557692307692308,1220.0844673862
"110050","2010/2011",34,52,1,1,14,1,4,2,2,8,1.5,0.365384615384615,2694.50845065764
"110060","2010/2011",2,13,0,0,0,0,2,3,3,26,15,0,51.9748788085759
"110070","2010/2011",11,8,0,0,2,1,0,2,2,21,2,0.0769230769230769,491.672263515922
"110080","2010/2011",3,51,0,0,0,0,7,4,1,10,2,0,129.389815050084
"110090","2010/2011",0,40,0,0,0,0,0,1,1,52,52,0,0
"110092","2010/2011",2,11,0,0,0,0,2,4,3,22,7,0,83.0922175235552
"110094","2010/2011",3,40,0,0,0,0,6,4,3,18,2,0,87.9375208745918
"110100","2010/2011",4,8,0,0,0,0,5,3,2,30,4,0,121.15314133428
"110110","2010/2011",7,14,0,0,1,1,4,1,0,3,2,0.0769230769230769,1123.95731785319
"110120","2010/2011",1,52,0,0,0,0,3,4,3,20,13,0,28.8298411032219
"110130","2010/2011",25,45,1,0,4,2.5,1,4,1,24,3.5,0.0961538461538462,946.474343502129
"110140","2010/2011",45,48,1,1,15,1,1,2,1,19,2,0.326923076923077,2375.64760244746
"110143","2010/2011",14,51,0,0,2,1,4,2,1,20,2,0.153846153846154,1106.62258536579
"110145","2010/2011",5,52,0,0,1,1,4,4,2,26,4.5,0.0192307692307692,245.939437413537
"110146","2010/2011",1,7,0,0,0,0,1,2,2,27,19,0,170.006170897069
"110147","2010/2011",3,48,0,0,0,0,4,2,1,24,2,0,640.025686649631
"110148","2010/2011",9,50,0,0,1,1,5,5,2,19,3,0.0576923076923077,485.336461057194
"110149","2010/2011",28,4,1,1,6,1,2,3,1,10,2,0.326923076923077,1274.39192146748
"110150","2010/2011",8,4,1,0,4,1,2,4,2,16,5,0.115384615384615,374.641175256571
"110155","2010/2011",11,49,0,0,2,2,1,3,1,34,5,0.0384615384615385,539.470903536916
"110160","2010/2011",2,46,0,0,0,0,2,3,3,31,13,0,27.6618305748341
"110170","2010/2011",27,13,2,1,7,5.5,2,2,2,23,6,0.211538461538462,1219.73556468877
"110175","2010/2011",2,9,0,0,0,0,2,2,2,27,21,0,31.4030205277117
"110180","2010/2011",1,38,0,0,0,0,0,1,1,50,50,0,23.7222760155244
"120001","2010/2011",35,49,2,2,11,9,1,2,1,17,3,0.403846153846154,3407.45605574445
"120005","2010/2011",13,49,2,1,6,1,1,1,1,11,2,0.307692307692308,2748.77758689045
"120010","2010/2011",31,7,4,2,17,3,0,0,0,1,1,0.615384615384615,2002.46283891078
"120013","2010/2011",1,2,0,0,0,0,3,4,3,18,11,0,56.5915558868822
"120017","2010/2011",22,15,1,1,21,21,1,2,2,11,7,0.403846153846154,3341.41106999912
"120020","2010/2011",13,7,1,1,6,1.5,5,3,0,5,2.5,0.192307692307692,176.613131292594
"120025","2010/2011",4,47,0,0,0,0,6,3,1,10,2,0,254.607882439707
"120030","2010/2011",67,12,1,1,7,7,2,3,3,21,6,0.134615384615385,659.912618351927
"120032","2010/2011",1,45,0,0,0,0,1,2,1,46,25.5,0,14.5849869997279
"120033","2010/2011",2,7,0,0,0,0,2,3,2,32,14,0,18.8758465393676
"120034","2010/2011",0,40,0,0,0,0,0,1,1,52,52,0,0
"120035","2010/2011",0,40,0,0,0,0,0,1,1,52,52,0,0
"120038","2010/2011",7,5,0,0,1,1,1,2,2,24,2,0.0384615384615385,194.930208023734
"120039","2010/2011",0,40,0,0,0,0,0,1,1,52,52,0,0
"120040","2010/2011",2562,1,1,1,52,52,0,0,0,0,0,1,10385.1352386931
"120042","2010/2011",0,40,0,0,0,0,0,1,1,52,52,0,0
"120043","2010/2011",1,9,0,0,0,0,1,2,2,30,25.5,0,20.7706718114023
"120045","2010/2011",74,1,1,1,27,14,1,2,2,8,3.5,0.538461538461538,4126.00962984296
"120050","2010/2011",51,2,3,2,11,3,3,1,0,5,2,0.423076923076923,1015.28039858804
"120060","2010/2011",2,14,0,0,0,0,2,2,2,24,11.5,0,15.8707026066866
"120070","2010/2011",22,52,1,1,21,11,0,0,0,2,1,0.423076923076923,1911.57144038746
"120080","2010/2011",19,5,0,0,2,1.5,1,2,1,27,1.5,0.115384615384615,503.373196121941
"130002","2010/2011",14,5,1,0,3,3,2,4,3,20,9.5,0.0576923076923077,270.162977014832
"130006","2010/2011",0,40,0,0,0,0,0,1,1,52,52,0,0
"130008","2010/2011",9,7,0,0,1,1,3,3,2,22,4,0.0192307692307692,184.206012424584
"130010","2010/2011",4,10,0,0,0,0,0,3,2,21,9.5,0,144.06452428405
"130014","2010/2011",3,14,0,0,0,0,6,5,2,14,2.5,0,114.032170229563
"130020","2010/2011",0,40,0,0,0,0,0,1,1,52,52,0,0
"130030","2010/2011",8,4,0,0,1,1,5,4,3,12,4,0.0192307692307692,84.6825987437778
"130040","2010/2011",44,42,2,2,15,6.5,0,0,0,1,1,0.557692307692308,2041.48578969454
"130050","2010/2011",3,6,0,0,0,0,0,2,2,32,25,0,14.1639346048415
"130060","2010/2011",7,5,0,0,1,1,2,2,2,23,2,0.0192307692307692,52.3654087313165
"130063","2010/2011",0,40,0,0,0,0,0,1,1,52,52,0,0
"130068","2010/2011",0,40,0,0,0,0,0,1,1,52,52,0,0
"130070","2010/2011",48,3,1,1,12,6.5,3,5,3,9,7,0.25,579.159919893833
"130080","2010/2011",36,8,1,1,8,4.5,4,4,2,8,4,0.173076923076923,340.362885637748
"130083","2010/2011",0,40,0,0,0,0,0,1,1,52,52,0,0
"130090","2010/2011",1,7,0,0,0,0,1,2,2,32,25.5,0,7.10461615603377
"130100","2010/2011",1,4,0,0,0,0,1,2,2,35,25.5,0,3.75363452881781
"130110","2010/2011",37,5,1,1,13,7,3,1,1,8,1.5,0.269230769230769,774.297669919538
"130115","2010/2011",0,40,0,0,0,0,0,1,1,52,52,0,0
"130120","2010/2011",119,50,1,1,30,1.5,0,1,1,9,9,0.653846153846154,1679.66993359703
"130130","2010/2011",59,8,2,1,11,2,1,2,1,24,3,0.307692307692308,1034.80308320427
"130140","2010/2011",1,50,0,0,0,0,2,3,2,32,7,0,12.6152047180866
"130150","2010/2011",1,6,0,0,0,0,1,2,2,33,25.5,0,5.9966833728115
"130160","2010/2011",3,18,0,0,0,0,3,4,3,21,7,0,33.900818916657
"130165","2010/2011",1,6,0,0,0,0,2,4,3,19,12,0,28.0262638430206
"130170","2010/2011",63,12,2,1,25,4,1,2,1,6,4,0.576923076923077,1583.48204911205
"130180","2010/2011",1,2,0,0,0,0,1,2,2,37,25.5,0,4.42328827250178
"130185","2010/2011",6,12,0,0,2,1.5,3,3,3,23,3.5,0.0576923076923077,63.8974582328393
"130190","2010/2011",159,9,1,1,22,1.5,0,2,1,15,2,0.5,1294.2483569631
"130195","2010/2011",1,10,0,0,0,0,2,2,2,27,22,0,24.0918920358923
"130200","2010/2011",0,40,0,0,0,0,0,1,1,52,52,0,0
"130210","2010/2011",22,5,0,0,1,1,1,4,3,16,8,0.0384615384615385,790.600970766769
"130220","2010/2011",3,5,0,0,0,0,4,6,2,18,4,0,100.205754648312
"130230","2010/2011",5,7,0,0,1,1,0,2,2,26,19,0.0384615384615385,90.8873598198703
"130240","2010/2011",100,4,2,2,12,6,2,2,1,13,2,0.365384615384615,1945.14295479316
"130250","2010/2011",188,5,1,1,27,14.5,1,1,1,9,1,0.557692307692308,1900.73591939613
"130255","2010/2011",13,9,0,0,1,1,1,3,2,22,8,0.0384615384615385,167.911272148822
"130260","2010/2011",6484,9,1,1,52,52,0,0,0,0,0,1,3066.28031736897
"130270","2010/2011",62,13,1,0,3,2.5,1,2,2,21,7.5,0.0961538461538462,349.320672058425
"130280","2010/2011",6,2,0,0,1,1,3,3,2,20,3,0.0384615384615385,197.650564661599
"130290","2010/2011",22,8,1,0,5,5,2,4,3,9,8,0.0961538461538462,197.468448754931
"130300","2010/2011",3,2,0,0,0,0,2,2,2,34,14,0,32.1689115308535
"130310","2010/2011",58,9,1,1,10,10,8,3,2,8,1.5,0.192307692307692,829.259282063912
"130320","2010/2011",16,6,2,0,4,4,3,4,3,8,6,0.173076923076923,760.209544938669
"130330","2010/2011",38,12,1,1,15,1.5,0,2,1,8,1,0.423076923076923,1681.41191376024
"130340","2010/2011",24,5,1,1,16,16,5,3,1,9,1.5,0.307692307692308,195.588111985753
"130350","2010/2011",0,40,0,0,0,0,0,1,1,52,52,0,0
"130353","2010/2011",20,8,2,0,5,4,2,2,2,13,1.5,0.153846153846154,419.556114595919
"130356","2010/2011",23,7,1,1,6,3.5,4,4,2,15,3,0.134615384615385,381.404617856411
"130360","2010/2011",0,40,0,0,0,0,0,1,1,52,52,0,0
"130370","2010/2011",0,40,0,0,0,0,0,1,1,52,52,0,0
"130380","2010/2011",18,38,2,0,4,2,1,0,0,1,1,0.326923076923077,599.00592504664
"130390","2010/2011",2,26,0,0,0,0,1,2,2,38,25.5,0,6.20893483633337
"130395","2010/2011",0,40,0,0,0,0,0,1,1,52,52,0,0
"130400","2010/2011",3,52,0,0,0,0,1,2,2,39,25.5,0,34.4585371025672
"130406","2010/2011",36,20,2,1,15,2,0,1,1,14,14,0.423076923076923,699.268186087167
"130410","2010/2011",1,5,0,0,0,0,1,2,2,34,25.5,0,5.38171077340876
"130420","2010/2011",570,3,1,1,46,23.5,0,0,0,1,1,0.903846153846154,5053.20203995914
"130423","2010/2011",0,40,0,0,0,0,0,1,1,52,52,0,0
"130426","2010/2011",2,11,0,0,0,0,2,2,2,25,23,0,24.517180492811
"130430","2010/2011",0,40,0,0,0,0,0,1,1,52,52,0,0
"130440","2010/2011",3,8,0,0,0,0,2,3,3,20,13,0,43.7464870046118
"140002","2010/2011",6,3,0,0,1,1,5,4,1,8,2,0.0192307692307692,388.448760541784
"140005","2010/2011",6,39,0,0,1,1,8,3,2,6,2,0.0192307692307692,220.573256050835
"140010","2010/2011",107,40,1,1,52,52,0,0,0,0,0,1,919.156609419392
"140015","2010/2011",10,29,0,0,2,1,4,1,0,4,1,0.0769230769230769,749.333525470135
"140017","2010/2011",34,42,0,0,2,1,2,3,0,4,1,0.0961538461538462,776.216289049419
"140020","2010/2011",22,23,1,0,3,1.5,4,3,1,7,1.5,0.134615384615385,561.067237817787
"140023","2010/2011",4,18,0,0,0,0,5,4,3,7,2,0,353.253270140248
"140028","2010/2011",23,23,0,0,1,1,6,1,0,3,1,0.0576923076923077,1093.14350618915
"140030","2010/2011",6,15,0,0,2,1,2,1,1,7,1,0.153846153846154,701.322347281939
"140040","2010/2011",7,12,0,0,1,1,5,5,3,10,4,0.0192307692307692,264.330527024238
"140045","2010/2011",5,7,0,0,1,1,4,5,1,7,3,0.0192307692307692,432.290133185542
"140047","2010/2011",13,13,2,0,5,1,1,0,0,1,1,0.230769230769231,625.095686590269
"140050","2010/2011",4,13,0,0,0,0,3,2,2,20,2,0,464.895764192731
"140060","2010/2011",4,9,0,0,0,0,0,2,2,24,20,0,201.739168989808
"140070","2010/2011",0,40,0,0,0,0,0,1,1,52,52,0,0
"150010","2010/2011",66,2,1,1,31,16,0,0,0,1,1,0.615384615384615,408.753240767988
"150013","2010/2011",8,48,0,0,1,1,8,5,1,6,2,0.0384615384615385,606.186768808027
"150020","2010/2011",15,1,1,0,3,1,1,1,1,19,1,0.173076923076923,207.089387996361
"150030","2010/2011",0,40,0,0,0,0,0,1,1,52,52,0,0
"150034","2010/2011",18,50,1,0,4,2.5,5,3,2,14,2,0.0961538461538462,287.159376479862
"150040","2010/2011",5,2,0,0,1,1,4,2,2,20,1.5,0.0384615384615385,63.285271605853
"150050","2010/2011",0,40,0,0,0,0,0,1,1,52,52,0,0
"150060","2010/2011",154,5,1,1,52,52,0,0,0,0,0,1,2217.40422977658
"150070","2010/2011",0,40,0,0,0,0,0,1,1,52,52,0,0
"150080","2010/2011",71,13,2,2,40,25.5,0,0,0,0,0,0.980769230769231,265.394014401512
"150085","2010/2011",3,3,0,0,0,0,7,6,3,10,4,0,77.3128578158932
"150090","2010/2011",11,11,0,0,2,1,5,5,2,6,2.5,0.0769230769230769,134.417660412614
